subject,accuracy
S001,88.98305084745762
S002,88.06818181818183
S003,82.38636363636364
S004,72.41379310344827
S005,85.24590163934425
S006,93.59331476323119
S007,72.1590909090909
S008,77.42857142857143
S009,78.06267806267806
S010,79.55182072829132
S011,82.02247191011236
S012,83.4733893557423
S013,81.61559888579387
S014,81.84438040345822
S015,81.74157303370787
S016,93.03621169916435
S017,86.28571428571429
S018,86.95652173913044
S019,71.83908045977012
S020,74.09470752089136
S021,85.18518518518519
S022,69.14285714285714
S023,83.98876404494382
S024,78.73563218390804
S025,81.97674418604652
S026,70.33898305084746
S027,75.57471264367817
S029,79.3201133144476
S031,92.22222222222223
S032,91.85393258426966
S033,57.77126099706745
S034,86.7231638418079
S035,84.7457627118644
S036,80.63583815028902
S037,79.82195845697329
S038,79.88668555240793
S039,66.66666666666666
S040,79.3201133144476
S041,90.28571428571428
S042,78.05555555555556
S043,75.3541076487252
S044,69.54022988505747
S045,86.0
S046,73.21937321937322
S047,75.13812154696133
S048,76.36887608069163
S049,81.79271708683473
S050,92.3076923076923
S051,82.71954674220963
S052,81.25
S053,93.93939393939394
S054,74.29378531073446
S055,88.23529411764706
S056,69.97084548104957
S057,85.95505617977528
S058,78.125
S060,82.47126436781609
S061,82.10227272727273
S062,78.53107344632768
S063,68.99441340782123
S064,67.52873563218391
S065,62.42937853107344
S066,80.92485549132948
S067,67.6056338028169
S068,71.86629526462396
S069,75.86206896551724
S070,84.61538461538461
S071,69.14285714285714
S072,79.2022792022792
S073,76.19047619047619
S074,83.4733893557423
S075,83.47826086956522
S076,82.86516853932584
S077,80.50139275766016
S078,68.28571428571428
S079,75.97765363128491
S080,76.20396600566572
S081,74.06340057636888
S082,75.41899441340783
S083,74.07407407407408
S084,82.6330532212885
S085,68.97506925207756
S086,60.74498567335244
S087,81.79190751445087
S088,74.78753541076487
S089,77.49287749287748
S090,82.90598290598291
S091,70.14492753623188
S092,72.64957264957265
S093,82.70893371757924
S094,71.38728323699422
S095,75.21367521367522
S096,68.36158192090396
S097,63.172804532577906
S098,81.92090395480226
S099,87.14285714285714
S100,71.30681818181817
S101,76.79558011049724
S102,66.08187134502924
S103,80.28169014084507
S104,84.19540229885058
S105,73.77521613832853
S106,83.42857142857143
S107,71.62921348314607
S109,80.11363636363636
S110,68.48137535816619
S111,84.31372549019608
S112,85.6353591160221
S113,87.6750700280112
S114,86.7231638418079
S115,77.11864406779661
S116,84.70588235294117
S117,83.4733893557423
S118,71.7877094972067
S119,68.19484240687679
S120,91.03641456582633
S121,85.95988538681948
S122,82.82548476454294
S123,71.95467422096317
S124,77.77777777777779
S125,56.94050991501416
S126,76.53631284916202
S127,84.18079096045197
S128,71.98879551820728
S129,82.35294117647058
S130,69.83695652173914
S131,72.04610951008645
S132,71.58774373259052
S133,75.07246376811594
S134,80.17492711370262
