subject,accuracy
S001,91.51515151515152
S002,98.81656804733728
S003,99.37888198757764
S004,77.27272727272727
S005,82.5136612021858
S006,98.83720930232558
S007,85.38011695906432
S008,92.40506329113924
S009,86.82634730538922
S010,95.42857142857143
S011,82.14285714285714
S012,95.29411764705881
S013,69.27374301675978
S014,86.85714285714286
S015,92.39766081871345
S016,94.97206703910615
S017,85.71428571428571
S018,99.36305732484077
S019,76.74418604651163
S020,75.72254335260115
S021,98.7878787878788
S022,72.51461988304094
S023,95.34883720930233
S024,97.5
S025,94.8051948051948
S026,76.878612716763
S027,88.41463414634147
S029,84.375
S031,97.71428571428571
S032,84.7457627118644
S033,67.07317073170732
S034,91.76470588235294
S035,94.9685534591195
S036,93.5064935064935
S037,82.91139240506328
S038,87.57062146892656
S039,79.3103448275862
S040,82.55813953488372
S041,95.93023255813954
S042,97.6608187134503
S043,70.6896551724138
S044,77.77777777777779
S045,87.00564971751412
S046,91.61676646706587
S047,88.30409356725146
S048,91.56626506024097
S049,88.75739644970415
S050,97.6608187134503
S051,98.18181818181819
S052,83.52272727272727
S053,96.55172413793103
S054,78.03468208092485
S055,89.32584269662921
S056,80.0
S057,93.97590361445783
S058,93.29268292682927
S060,90.56603773584906
S061,85.97560975609755
S062,83.13953488372093
S063,73.44632768361582
S064,67.70186335403726
S065,72.61904761904762
S066,91.61290322580645
S067,76.47058823529412
S068,66.10169491525424
S069,75.0
S070,95.65217391304348
S071,83.04093567251462
S072,86.14457831325302
S073,85.79881656804734
S074,98.23529411764706
S075,87.8048780487805
S076,100.0
S077,91.22807017543859
S078,58.285714285714285
S079,95.23809523809523
S080,75.14450867052022
S081,84.66257668711657
S082,95.34883720930233
S083,77.51479289940828
S084,95.18072289156626
S085,81.5028901734104
S086,68.82352941176471
S087,83.04093567251462
S088,94.01197604790418
S089,82.71604938271605
S090,76.74418604651163
S091,81.09756097560977
S092,83.22981366459628
S093,73.18435754189943
S094,79.26829268292683
S095,88.62275449101796
S096,68.75
S097,77.63975155279503
S098,93.41317365269461
S099,95.18072289156626
S100,69.41176470588235
S101,79.06976744186046
S102,55.172413793103445
S103,83.52272727272727
S104,91.76470588235294
S105,76.21951219512195
S106,89.3491124260355
S107,85.79881656804734
S109,77.71084337349397
S110,70.73170731707317
S111,93.6046511627907
S112,89.65517241379311
S113,100.0
S114,90.28571428571428
S115,92.63803680981594
S116,94.9367088607595
S117,89.53488372093024
S118,82.14285714285714
S119,83.53658536585365
S120,90.11627906976744
S121,88.37209302325581
S122,93.52941176470588
S123,83.8150289017341
S124,82.35294117647058
S125,61.07784431137725
S126,88.16568047337277
S127,83.9080459770115
S128,72.72727272727273
S129,85.71428571428571
S130,62.5
S131,79.41176470588235
S132,75.43859649122807
S133,85.16129032258064
S134,84.88372093023256
