subject,accuracy
S001,84.44444444444444
S002,80.81395348837209
S003,67.0391061452514
S004,68.94409937888199
S005,84.30232558139535
S006,88.63636363636364
S007,62.35294117647059
S008,63.33333333333333
S009,70.34883720930233
S010,63.005780346820806
S011,75.0
S012,72.72727272727273
S013,89.47368421052632
S014,82.71604938271605
S015,73.14285714285714
S016,88.23529411764706
S017,91.17647058823529
S018,74.01129943502825
S019,64.84848484848484
S020,64.36781609195403
S021,70.28571428571428
S022,63.095238095238095
S023,80.45977011494253
S024,58.42696629213483
S025,69.83240223463687
S026,59.76331360946746
S027,60.91954022988506
S029,73.62637362637363
S031,86.20689655172413
S032,95.20958083832335
S033,57.48502994011976
S034,72.98850574712644
S035,78.14207650273224
S036,68.33333333333333
S037,77.84431137724552
S038,69.87951807228916
S039,63.63636363636363
S040,78.23529411764706
S041,83.73493975903614
S042,59.77653631284916
S043,79.64071856287424
S044,64.57142857142857
S045,86.33540372670807
S046,57.80346820809249
S047,65.92178770949721
S048,69.23076923076923
S049,76.8361581920904
S050,87.57396449704143
S051,64.04494382022472
S052,78.65853658536585
S053,89.32584269662921
S054,64.70588235294117
S055,82.63473053892216
S056,67.48466257668711
S057,79.88826815642457
S058,63.2768361581921
S060,69.83240223463687
S061,74.01129943502825
S062,71.9298245614035
S063,66.66666666666666
S064,56.25
S065,57.714285714285715
S066,71.50837988826815
S067,66.0919540229885
S068,79.53216374269006
S069,72.02380952380952
S070,76.66666666666667
S071,56.80473372781065
S072,72.0
S073,72.1590909090909
S074,68.18181818181817
S075,82.94117647058825
S076,69.31818181818183
S077,74.01129943502825
S078,73.61963190184049
S079,63.48314606741573
S080,72.61904761904762
S081,58.38150289017341
S082,56.32183908045977
S083,78.82352941176471
S084,64.44444444444444
S085,52.84090909090909
S086,60.11904761904761
S087,81.21212121212122
S088,57.47126436781609
S089,71.91011235955057
S090,86.22754491017965
S091,57.05882352941176
S092,67.41573033707866
S093,88.60759493670885
S094,69.18604651162791
S095,68.57142857142857
S096,74.69879518072288
S097,50.55555555555556
S098,67.79661016949152
S099,80.92485549132948
S100,75.0
S101,71.50837988826815
S102,69.81132075471697
S103,87.05882352941177
S104,81.32530120481928
S105,77.77777777777779
S106,71.9298245614035
S107,62.28571428571429
S109,81.60919540229885
S110,67.42857142857143
S111,76.27118644067797
S112,81.81818181818183
S113,73.83720930232558
S114,88.62275449101796
S115,71.66666666666667
S116,74.26900584795322
S117,77.8409090909091
S118,63.687150837988824
S119,64.16184971098265
S120,96.0
S121,86.82634730538922
S122,80.87431693989072
S123,67.45562130177515
S124,70.76023391812866
S125,48.85057471264368
S126,66.66666666666666
S127,91.12426035502959
S128,72.51461988304094
S129,71.76470588235294
S130,75.5813953488372
S131,59.2814371257485
S132,64.20454545454545
S133,63.687150837988824
S134,76.25
