subject,accuracy
S001,98.1651376146789
S002,94.82758620689656
S003,71.42857142857143
S004,90.47619047619048
S005,93.85964912280701
S006,98.1981981981982
S007,79.3103448275862
S008,94.11764705882352
S009,88.67924528301887
S010,81.66666666666667
S011,97.22222222222221
S012,96.3963963963964
S013,96.52173913043478
S014,88.49557522123894
S015,96.3302752293578
S016,97.41379310344827
S017,100.0
S018,94.05940594059405
S019,86.60714285714286
S020,76.06837606837607
S021,100.0
S022,78.99159663865547
S023,95.0
S024,84.21052631578947
S025,81.25
S026,72.26890756302521
S027,79.82456140350878
S029,92.23300970873787
S031,100.0
S032,100.0
S033,62.38532110091744
S034,99.0909090909091
S035,82.71604938271605
S036,90.9090909090909
S037,88.39285714285714
S038,94.39252336448598
S039,85.84905660377359
S040,98.1981981981982
S041,96.26168224299066
S042,82.75862068965517
S043,96.58119658119658
S044,72.64150943396226
S045,100.0
S046,88.28828828828829
S047,87.93103448275862
S048,79.27927927927928
S049,95.4954954954955
S050,100.0
S051,88.9908256880734
S052,100.0
S053,97.43589743589743
S054,87.61061946902655
S055,94.5945945945946
S056,90.09009009009009
S057,92.72727272727272
S058,90.56603773584906
S060,98.01980198019803
S061,85.84905660377359
S062,94.54545454545455
S063,93.75
S064,73.63636363636363
S065,66.95652173913044
S066,88.88888888888889
S067,83.33333333333334
S068,81.57894736842105
S069,95.0
S070,93.26923076923077
S071,83.33333333333334
S072,91.34615384615384
S073,94.64285714285714
S074,85.59322033898306
S075,95.32710280373831
S076,90.9090909090909
S077,92.10526315789474
S078,87.5
S079,81.5126050420168
S080,90.990990990991
S081,80.7017543859649
S082,79.50819672131148
S083,92.17391304347827
S084,91.74311926605505
S085,76.92307692307693
S086,70.83333333333334
S087,95.41284403669725
S088,77.47747747747748
S089,93.75
S090,93.63636363636364
S091,75.89285714285714
S092,87.37864077669903
S093,85.43689320388349
S094,84.54545454545455
S095,81.5126050420168
S096,94.39252336448598
S097,70.47619047619048
S098,90.65420560747664
S099,84.070796460177
S100,76.47058823529412
S101,95.6140350877193
S102,61.81818181818181
S103,94.01709401709401
S104,99.0
S105,70.47619047619048
S106,96.3963963963964
S107,79.66101694915254
S109,94.4954128440367
S110,85.84905660377359
S111,91.30434782608695
S112,96.63865546218487
S113,86.4406779661017
S114,100.0
S115,91.66666666666666
S116,92.38095238095238
S117,94.64285714285714
S118,85.96491228070175
S119,81.73913043478261
S120,94.78260869565217
S121,97.34513274336283
S122,84.12698412698413
S123,77.87610619469027
S124,91.59663865546219
S125,68.64406779661016
S126,83.92857142857143
S127,96.42857142857143
S128,89.07563025210085
S129,91.07142857142857
S130,76.99115044247787
S131,79.66101694915254
S132,84.34782608695653
S133,83.50515463917526
S134,94.1747572815534
