subject,accuracy

S001,77.77777777777779

S002,81.81818181818183

S003,75.0

S004,45.45454545454545

S005,81.81818181818183

S006,72.72727272727273

S007,63.63636363636363

S008,75.0

S009,83.33333333333334

S010,66.66666666666666

S011,50.0

S012,72.72727272727273

S013,88.88888888888889

S014,90.0

S015,60.0

S016,80.0

S017,91.66666666666666

S018,63.63636363636363

S019,72.72727272727273

S020,83.33333333333334

S021,72.72727272727273

S022,81.81818181818183

S023,70.0

S024,60.0

S025,81.81818181818183

S026,66.66666666666666

S027,90.0

S029,81.81818181818183

S031,81.81818181818183

S032,100.0

S033,60.0

S034,70.0

S035,58.333333333333336

S036,83.33333333333334

S037,75.0

S038,50.0

S039,41.66666666666667

S040,72.72727272727273

S041,83.33333333333334

S042,70.0

S043,100.0

S044,81.81818181818183

S045,83.33333333333334

S046,54.54545454545454

S047,83.33333333333334

S048,58.333333333333336

S049,72.72727272727273

S050,100.0

S051,70.0

S052,83.33333333333334

S053,72.72727272727273

S054,90.9090909090909

S055,75.0

S056,60.0

S057,72.72727272727273

S058,54.54545454545454

S060,80.0

S061,72.72727272727273

S062,72.72727272727273

S063,60.0

S064,72.72727272727273

S065,54.54545454545454

S066,83.33333333333334

S067,72.72727272727273

S068,63.63636363636363

S069,58.333333333333336

S070,70.0

S071,70.0

S072,80.0

S073,66.66666666666666

S074,81.81818181818183

S075,72.72727272727273

S076,80.0

S077,81.81818181818183

S078,66.66666666666666

S079,91.66666666666666

S080,50.0

S081,81.81818181818183

S082,58.333333333333336

S083,83.33333333333334

S084,100.0

S085,75.0

S086,63.63636363636363

S087,60.0

S088,58.333333333333336

S089,54.54545454545454

S090,66.66666666666666

S091,90.9090909090909

S092,58.333333333333336

S093,90.0

S094,80.0

S095,77.77777777777779

S096,58.333333333333336

S097,75.0

S098,90.0

S099,81.81818181818183

S100,66.66666666666666

S101,63.63636363636363

S102,44.44444444444444

S103,77.77777777777779

S104,75.0

S105,66.66666666666666

S106,50.0

S107,91.66666666666666

S109,91.66666666666666

S110,50.0

S111,75.0

S112,83.33333333333334

S113,83.33333333333334

S114,83.33333333333334

S115,63.63636363636363

S116,90.9090909090909

S117,77.77777777777779

S118,81.81818181818183

S119,75.0

S120,70.0

S121,90.0

S122,75.0

S123,63.63636363636363

S124,80.0

S125,66.66666666666666

S126,66.66666666666666

S127,72.72727272727273

S128,70.0

S129,66.66666666666666

S130,66.66666666666666

S131,60.0

S132,66.66666666666666

S133,81.81818181818183

S134,54.54545454545454
