subject,accuracy
S001,100.0
S002,100.0
S003,100.0
S004,60.0
S005,100.0
S006,100.0
S007,100.0
S008,100.0
S009,100.0
S010,100.0
S011,66.66666666666666
S012,100.0
S013,100.0
S014,100.0
S015,100.0
S016,100.0
S017,83.33333333333334
S018,100.0
S019,100.0
S020,100.0
S021,80.0
S022,100.0
S023,100.0
S024,100.0
S025,100.0
S026,100.0
S027,100.0
S029,100.0
S031,100.0
S032,83.33333333333334
S033,75.0
S034,100.0
S035,100.0
S036,100.0
S037,100.0
S038,75.0
S039,50.0
S040,100.0
S041,100.0
S042,100.0
S043,100.0
S044,100.0
S045,100.0
S046,83.33333333333334
S047,83.33333333333334
S048,100.0
S049,60.0
S050,100.0
S051,100.0
S052,83.33333333333334
S053,100.0
S054,100.0
S055,100.0
S056,75.0
S057,100.0
S058,100.0
S060,100.0
S061,100.0
S062,100.0
S063,75.0
S064,80.0
S065,80.0
S066,100.0
S067,100.0
S068,100.0
S069,66.66666666666666
S070,100.0
S071,100.0
S072,75.0
S073,83.33333333333334
S074,100.0
S075,66.66666666666666
S076,100.0
S077,100.0
S078,50.0
S079,100.0
S080,66.66666666666666
S081,83.33333333333334
S082,83.33333333333334
S083,100.0
S084,100.0
S085,100.0
S086,100.0
S087,100.0
S088,83.33333333333334
S089,80.0
S090,83.33333333333334
S091,83.33333333333334
S092,83.33333333333334
S093,80.0
S094,100.0
S095,100.0
S096,66.66666666666666
S097,100.0
S098,75.0
S099,100.0
S100,100.0
S101,40.0
S102,25.0
S103,100.0
S104,100.0
S105,83.33333333333334
S106,66.66666666666666
S107,100.0
S109,83.33333333333334
S110,75.0
S111,100.0
S112,100.0
S113,100.0
S114,100.0
S115,100.0
S116,100.0
S117,100.0
S118,100.0
S119,100.0
S120,100.0
S121,100.0
S122,100.0
S123,80.0
S124,100.0
S125,50.0
S126,100.0
S127,100.0
S128,100.0
S129,100.0
S130,100.0
S131,100.0
S132,100.0
S133,100.0
S134,60.0
