subject,accuracy
S001,66.66666666666666
S002,66.66666666666666
S003,50.0
S004,50.0
S005,40.0
S006,50.0
S007,33.33333333333333
S008,33.33333333333333
S009,50.0
S010,50.0
S011,83.33333333333334
S012,50.0
S013,66.66666666666666
S014,60.0
S015,33.33333333333333
S016,83.33333333333334
S017,83.33333333333334
S018,40.0
S019,16.666666666666664
S020,50.0
S021,66.66666666666666
S022,60.0
S023,66.66666666666666
S024,75.0
S025,66.66666666666666
S026,50.0
S027,40.0
S029,50.0
S031,50.0
S032,83.33333333333334
S033,66.66666666666666
S034,60.0
S035,50.0
S036,50.0
S037,100.0
S038,33.33333333333333
S039,66.66666666666666
S040,83.33333333333334
S041,66.66666666666666
S042,66.66666666666666
S043,66.66666666666666
S044,66.66666666666666
S045,66.66666666666666
S046,40.0
S047,66.66666666666666
S048,50.0
S049,83.33333333333334
S050,83.33333333333334
S051,66.66666666666666
S052,66.66666666666666
S053,50.0
S054,60.0
S055,66.66666666666666
S056,83.33333333333334
S057,50.0
S058,50.0
S060,66.66666666666666
S061,50.0
S062,66.66666666666666
S063,16.666666666666664
S064,66.66666666666666
S065,33.33333333333333
S066,83.33333333333334
S067,50.0
S068,66.66666666666666
S069,83.33333333333334
S070,66.66666666666666
S071,83.33333333333334
S072,66.66666666666666
S073,50.0
S074,50.0
S075,40.0
S076,83.33333333333334
S077,66.66666666666666
S078,83.33333333333334
S079,66.66666666666666
S080,50.0
S081,60.0
S082,50.0
S083,66.66666666666666
S084,50.0
S085,66.66666666666666
S086,40.0
S087,33.33333333333333
S088,16.666666666666664
S089,50.0
S090,83.33333333333334
S091,100.0
S092,50.0
S093,60.0
S094,83.33333333333334
S095,40.0
S096,50.0
S097,66.66666666666666
S098,100.0
S099,66.66666666666666
S100,50.0
S101,66.66666666666666
S102,40.0
S103,33.33333333333333
S104,50.0
S105,100.0
S106,25.0
S107,83.33333333333334
S109,100.0
S110,33.33333333333333
S111,66.66666666666666
S112,50.0
S113,50.0
S114,66.66666666666666
S115,16.666666666666664
S116,66.66666666666666
S117,60.0
S118,66.66666666666666
S119,33.33333333333333
S120,66.66666666666666
S121,100.0
S122,50.0
S123,66.66666666666666
S124,60.0
S125,66.66666666666666
S126,33.33333333333333
S127,100.0
S128,66.66666666666666
S129,33.33333333333333
S130,50.0
S131,20.0
S132,50.0
S133,50.0
S134,50.0
