subject,accuracy
S001,86.7231638418079
S002,89.20454545454545
S003,80.11363636363636
S004,69.82758620689656
S005,83.87978142076503
S006,93.03621169916435
S007,72.1590909090909
S008,76.0
S009,77.20797720797721
S010,78.99159663865547
S011,80.89887640449437
S012,84.593837535014
S013,80.50139275766016
S014,83.28530259365994
S015,81.46067415730337
S016,90.80779944289694
S017,86.28571428571429
S018,85.21739130434783
S019,72.41379310344827
S020,72.70194986072424
S021,84.61538461538461
S022,67.71428571428572
S023,85.39325842696628
S024,78.16091954022988
S025,81.68604651162791
S026,68.92655367231639
S027,72.70114942528735
S029,77.33711048158641
S031,92.77777777777779
S032,89.60674157303372
S033,58.65102639296188
S034,84.18079096045197
S035,79.37853107344633
S036,78.03468208092485
S037,81.89910979228486
S038,78.47025495750708
S039,68.94586894586895
S040,82.15297450424929
S041,88.85714285714286
S042,78.88888888888889
S043,76.48725212464589
S044,70.97701149425288
S045,85.14285714285714
S046,74.07407407407408
S047,77.62430939226519
S048,77.23342939481267
S049,81.23249299719888
S050,94.01709401709401
S051,79.03682719546742
S052,82.10227272727273
S053,90.13698630136986
S054,73.87640449438202
S055,86.5546218487395
S056,71.59420289855073
S057,87.35955056179775
S058,76.42045454545455
S060,80.17241379310344
S061,79.82954545454545
S062,79.09604519774011
S063,70.6703910614525
S064,61.7816091954023
S065,63.2768361581921
S066,78.61271676300578
S067,68.73239436619718
S068,71.3091922005571
S069,73.5632183908046
S070,85.47008547008546
S071,71.14285714285714
S072,79.77207977207978
S073,77.6536312849162
S074,84.87394957983193
S075,83.18840579710145
S076,84.26966292134831
S077,82.45125348189416
S078,67.71428571428572
S079,78.77094972067039
S080,71.38810198300283
S081,70.02881844380403
S082,76.25698324022346
S083,76.35327635327636
S084,80.3921568627451
S085,65.37396121883657
S086,64.1025641025641
S087,80.34682080924856
S088,73.08781869688386
S089,77.49287749287748
S090,80.62678062678063
S091,67.82608695652173
S092,74.35897435897436
S093,80.97982708933718
S094,72.54335260115607
S095,74.07407407407408
S096,69.2090395480226
S097,63.73937677053825
S098,79.09604519774011
S099,87.42857142857143
S100,70.17045454545455
S101,76.51933701657458
S102,62.57309941520468
S103,82.8169014084507
S104,84.48275862068965
S105,74.63976945244957
S106,80.85714285714286
S107,73.59550561797754
S109,79.26136363636364
S110,68.76790830945558
S111,83.4733893557423
S112,83.42541436464089
S113,85.99439775910365
S114,89.26553672316385
S115,79.37853107344633
S116,82.94117647058825
S117,84.31372549019608
S118,74.72222222222223
S119,70.37037037037037
S120,90.19607843137256
S121,86.81948424068769
S122,82.54847645429363
S123,73.37110481586402
S124,73.50427350427351
S125,54.39093484419264
S126,75.97765363128491
S127,84.4632768361582
S128,71.42857142857143
S129,79.27170868347339
S130,69.56521739130434
S131,65.99423631123919
S132,73.25905292479109
S133,72.83236994219652
S134,80.17492711370262
