subject,accuracy
S001,89.28571428571429
S002,98.85057471264368
S003,99.40119760479041
S004,76.79558011049724
S005,84.65608465608466
S006,98.30508474576271
S007,86.93181818181817
S008,92.07317073170732
S009,87.28323699421965
S010,95.50561797752809
S011,82.75862068965517
S012,95.42857142857143
S013,70.32967032967034
S014,86.66666666666667
S015,92.57142857142857
S016,93.98907103825137
S017,85.63218390804597
S018,99.38650306748467
S019,77.40112994350282
S020,74.86033519553072
S021,98.82352941176471
S022,74.01129943502825
S023,95.45454545454545
S024,97.53086419753086
S025,96.22641509433963
S026,76.53631284916202
S027,88.16568047337277
S029,84.84848484848484
S031,99.44444444444444
S032,85.79234972677595
S033,66.07142857142857
S034,92.0
S035,95.75757575757575
S036,93.75
S037,83.53658536585365
S038,87.84530386740332
S039,76.11111111111111
S040,84.7457627118644
S041,96.62921348314607
S042,97.14285714285714
S043,72.22222222222221
S044,79.04191616766467
S045,84.15300546448088
S046,90.7514450867052
S047,87.57062146892656
S048,91.27906976744185
S049,89.65517241379311
S050,96.5909090909091
S051,98.22485207100591
S052,84.61538461538461
S053,94.97206703910615
S054,77.6536312849162
S055,89.67391304347827
S056,78.73563218390804
S057,95.32163742690058
S058,94.0828402366864
S060,91.41104294478528
S061,88.16568047337277
S062,82.48587570621469
S063,76.24309392265194
S064,69.87951807228916
S065,74.56647398843931
S066,91.30434782608695
S067,78.28571428571428
S068,64.83516483516483
S069,76.4367816091954
S070,95.75757575757575
S071,84.0
S072,86.47058823529412
S073,85.71428571428571
S074,98.85714285714286
S075,88.23529411764706
S076,100.0
S077,92.61363636363636
S078,58.5635359116022
S079,95.40229885057471
S080,74.86033519553072
S081,84.61538461538461
S082,94.3820224719101
S083,77.14285714285715
S084,96.49122807017544
S085,83.24022346368714
S086,69.88636363636364
S087,81.71428571428572
S088,93.0635838150289
S089,82.03592814371258
S090,75.84269662921348
S091,82.35294117647058
S092,84.4311377245509
S093,73.91304347826086
S094,77.97619047619048
S095,89.47368421052632
S096,70.32967032967034
S097,80.83832335329342
S098,95.32163742690058
S099,95.32163742690058
S100,68.6046511627907
S101,79.09604519774011
S102,55.61797752808989
S103,83.51648351648352
S104,92.61363636363636
S105,75.88235294117646
S106,89.14285714285714
S107,85.14285714285714
S109,75.5813953488372
S110,70.83333333333334
S111,93.67816091954023
S112,91.11111111111111
S113,100.0
S114,90.60773480662984
S115,92.26190476190477
S116,96.31901840490798
S117,89.20454545454545
S118,84.39306358381504
S119,83.52941176470588
S120,91.47727272727273
S121,88.76404494382022
S122,93.02325581395348
S123,83.14606741573034
S124,83.42857142857143
S125,58.38150289017341
S126,87.42857142857143
S127,83.79888268156425
S128,72.77777777777777
S129,86.74033149171271
S130,63.1578947368421
S131,77.14285714285715
S132,79.66101694915254
S133,85.625
S134,84.18079096045197
