subject,accuracy
S001,87.2463768115942
S002,89.44281524926686
S003,82.05882352941177
S004,72.70029673590504
S005,83.94366197183099
S006,93.96551724137932
S007,71.8475073313783
S008,76.03550295857988
S009,77.28613569321534
S010,79.59770114942529
S011,81.68604651162791
S012,85.54913294797689
S013,79.42857142857143
S014,82.7893175074184
S015,82.08092485549133
S016,91.11747851002865
S017,86.09467455621301
S018,83.53293413173652
S019,72.10682492581603
S020,71.75792507204612
S021,85.29411764705883
S022,69.02654867256636
S023,84.97109826589595
S024,75.7396449704142
S025,81.08108108108108
S026,69.5906432748538
S027,71.59763313609467
S029,76.90058479532163
S031,92.83667621776505
S032,89.53488372093024
S033,59.21450151057401
S034,84.59302325581395
S035,82.16374269005848
S036,75.1497005988024
S037,82.46153846153847
S038,79.59183673469387
S039,69.91150442477876
S040,81.57894736842105
S041,90.23668639053254
S042,78.85714285714286
S043,76.53958944281524
S044,70.91988130563797
S045,84.91124260355029
S046,73.82352941176471
S047,77.14285714285715
S048,77.91044776119404
S049,82.94797687861272
S050,92.64705882352942
S051,79.30029154518951
S052,80.58823529411765
S053,91.47727272727273
S054,73.76093294460642
S055,85.79710144927536
S056,71.77177177177178
S057,85.79710144927536
S058,76.53958944281524
S060,80.4733727810651
S061,80.64516129032258
S062,76.38483965014578
S063,68.10344827586206
S064,63.798219584569736
S065,63.55685131195335
S066,79.04191616766467
S067,70.93023255813954
S068,71.26436781609196
S069,74.70238095238095
S070,86.80351906158357
S071,70.88235294117648
S072,79.76539589442815
S073,77.68115942028986
S074,84.6820809248555
S075,83.23353293413174
S076,84.6820809248555
S077,83.33333333333334
S078,68.04733727810651
S079,78.32369942196532
S080,71.5542521994135
S081,71.13095238095238
S082,75.43352601156069
S083,77.28613569321534
S084,79.76878612716763
S085,66.4756446991404
S086,63.609467455621306
S087,81.54761904761905
S088,72.14076246334311
S089,76.47058823529412
S090,79.9410029498525
S091,65.86826347305389
S092,74.33628318584071
S093,81.60237388724035
S094,72.32142857142857
S095,73.39181286549707
S096,69.00584795321637
S097,63.63636363636363
S098,79.36046511627907
S099,87.61061946902655
S100,69.94219653179191
S101,78.06267806267806
S102,61.86186186186187
S103,83.23699421965318
S104,86.30952380952381
S105,74.02985074626865
S106,80.0
S107,72.96511627906976
S109,81.17647058823529
S110,67.84660766961652
S111,84.2406876790831
S112,84.28571428571429
S113,86.08695652173914
S114,89.47368421052632
S115,79.59183673469387
S116,82.67477203647417
S117,83.9080459770115
S118,74.06340057636888
S119,69.43620178041543
S120,90.77809798270894
S121,87.31563421828909
S122,84.13597733711048
S123,74.26900584795322
S124,73.02052785923753
S125,53.665689149560116
S126,74.85549132947978
S127,86.0058309037901
S128,72.62247838616715
S129,79.13043478260869
S130,68.25842696629213
S131,68.24925816023739
S132,71.75792507204612
S133,73.05389221556887
S134,79.81927710843374
