subject,accuracy
S001,100.0
S002,100.0
S003,100.0
S004,91.37931034482759
S005,93.54838709677419
S006,100.0
S007,100.0
S008,100.0
S009,96.07843137254902
S010,100.0
S011,98.0
S012,100.0
S013,91.66666666666666
S014,94.91525423728814
S015,100.0
S016,96.72131147540983
S017,100.0
S018,100.0
S019,89.47368421052632
S020,86.4406779661017
S021,100.0
S022,80.64516129032258
S023,100.0
S024,100.0
S025,100.0
S026,85.0
S027,94.44444444444444
S029,97.5609756097561
S031,100.0
S032,100.0
S033,81.81818181818183
S034,100.0
S035,97.5609756097561
S036,100.0
S037,87.71929824561403
S038,96.49122807017544
S039,91.22807017543859
S040,98.21428571428571
S041,98.21428571428571
S042,100.0
S043,94.91525423728814
S044,97.82608695652173
S045,96.61016949152543
S046,100.0
S047,98.14814814814815
S048,98.18181818181819
S049,98.0392156862745
S050,100.0
S051,100.0
S052,100.0
S053,98.24561403508771
S054,91.52542372881356
S055,100.0
S056,96.29629629629629
S057,100.0
S058,97.82608695652173
S060,100.0
S061,97.77777777777777
S062,98.21428571428571
S063,96.49122807017544
S064,87.5
S065,77.19298245614034
S066,100.0
S067,90.38461538461539
S068,72.88135593220339
S069,96.0
S070,100.0
S071,96.36363636363636
S072,100.0
S073,100.0
S074,100.0
S075,100.0
S076,100.0
S077,94.44444444444444
S078,79.3103448275862
S079,100.0
S080,91.37931034482759
S081,96.29629629629629
S082,100.0
S083,86.4406779661017
S084,100.0
S085,91.52542372881356
S086,70.49180327868852
S087,96.49122807017544
S088,94.23076923076923
S089,98.0392156862745
S090,85.96491228070175
S091,98.14814814814815
S092,100.0
S093,76.66666666666667
S094,98.0
S095,91.37931034482759
S096,94.82758620689656
S097,100.0
S098,100.0
S099,96.29629629629629
S100,84.48275862068965
S101,98.11320754716981
S102,53.333333333333336
S103,93.33333333333333
S104,100.0
S105,97.87234042553192
S106,96.42857142857143
S107,98.27586206896551
S109,96.0
S110,95.74468085106383
S111,98.14814814814815
S112,100.0
S113,100.0
S114,100.0
S115,97.82608695652173
S116,100.0
S117,100.0
S118,98.07692307692307
S119,98.18181818181819
S120,96.36363636363636
S121,93.10344827586206
S122,82.75862068965517
S123,96.49122807017544
S124,100.0
S125,73.21428571428571
S126,98.11320754716981
S127,94.82758620689656
S128,98.30508474576271
S129,96.49122807017544
S130,68.65671641791045
S131,96.42857142857143
S132,94.54545454545455
S133,100.0
S134,98.21428571428571
