subject,accuracy
S001,96.7741935483871
S002,90.0
S003,51.61290322580645
S004,89.36170212765957
S005,94.23076923076923
S006,96.55172413793103
S007,58.620689655172406
S008,91.93548387096774
S009,90.9090909090909
S010,67.21311475409836
S011,98.27586206896551
S012,88.33333333333333
S013,98.18181818181819
S014,85.18518518518519
S015,89.65517241379311
S016,94.54545454545455
S017,98.11320754716981
S018,93.22033898305084
S019,89.0909090909091
S020,65.51724137931035
S021,100.0
S022,78.94736842105263
S023,96.66666666666667
S024,73.33333333333333
S025,77.04918032786885
S026,62.71186440677966
S027,71.66666666666667
S029,85.48387096774194
S031,100.0
S032,100.0
S033,59.25925925925925
S034,96.49122807017544
S035,78.51239669421489
S036,91.93548387096774
S037,89.0909090909091
S038,92.0
S039,81.63265306122449
S040,96.36363636363636
S041,94.11764705882352
S042,66.12903225806451
S043,94.82758620689656
S044,51.66666666666667
S045,97.67441860465115
S046,78.94736842105263
S047,74.19354838709677
S048,55.35714285714286
S049,95.0
S050,96.29629629629629
S051,79.03225806451613
S052,100.0
S053,93.33333333333333
S054,85.18518518518519
S055,88.23529411764706
S056,85.96491228070175
S057,90.1639344262295
S058,88.33333333333333
S060,98.36065573770492
S061,78.68852459016394
S062,85.18518518518519
S063,94.54545454545455
S064,56.451612903225815
S065,65.51724137931035
S066,90.32258064516128
S067,67.85714285714286
S068,94.54545454545455
S069,96.0
S070,88.70967741935483
S071,73.58490566037736
S072,77.19298245614034
S073,91.37931034482759
S074,70.96774193548387
S075,93.10344827586206
S076,83.05084745762711
S077,88.33333333333333
S078,100.0
S079,75.40983606557377
S080,96.22641509433963
S081,71.66666666666667
S082,54.83870967741935
S083,89.28571428571429
S084,87.09677419354838
S085,62.06896551724138
S086,71.1864406779661
S087,98.07692307692307
S088,67.79661016949152
S089,90.1639344262295
S090,98.11320754716981
S091,58.620689655172406
S092,83.33333333333334
S093,97.67441860465115
S094,71.66666666666667
S095,75.40983606557377
S096,93.87755102040816
S097,53.2258064516129
S098,88.13559322033898
S099,74.57627118644068
S100,75.40983606557377
S101,93.44262295081968
S102,80.0
S103,94.73684210526315
S104,97.91666666666666
S105,60.3448275862069
S106,90.9090909090909
S107,53.333333333333336
S109,91.52542372881356
S110,79.66101694915254
S111,80.32786885245902
S112,95.0
S113,73.77049180327869
S114,100.0
S115,88.70967741935483
S116,79.66101694915254
S117,91.37931034482759
S118,80.64516129032258
S119,70.0
S120,93.33333333333333
S121,94.54545454545455
S122,88.23529411764706
S123,53.57142857142857
S124,83.33333333333334
S125,58.06451612903226
S126,79.66101694915254
S127,96.29629629629629
S128,95.0
S129,85.45454545454545
S130,95.65217391304348
S131,66.12903225806451
S132,71.66666666666667
S133,80.32786885245902
S134,89.36170212765957
