subject,accuracy,time,accuracy_embedding,time_embedding
S001,86.41304347826086,94.08489608764648,86.1413043478261,48.35363245010376
S002,89.51612903225806,92.71325063705444,87.09677419354838,46.68270683288574
S003,80.64516129032258,93.13115096092224,80.64516129032258,48.132466316223145
S004,72.04301075268818,93.43133902549744,72.04301075268818,57.181148529052734
S005,85.78947368421052,92.19374132156372,81.05263157894737,47.77015471458435
S006,92.47311827956989,92.96633195877075,92.20430107526882,49.7396297454834
S007,69.35483870967742,93.96883893013,70.43010752688173,47.86278438568115
S008,78.49462365591397,95.08330011367798,78.2258064516129,51.045060873031616
S009,78.49462365591397,91.86850309371948,76.61290322580645,54.44519901275635
S010,79.83870967741935,93.34210348129272,77.41935483870968,45.5380117893219
S011,80.91397849462365,91.85471701622009,78.76344086021506,45.751004457473755
S012,85.48387096774194,92.15029907226562,83.06451612903226,48.579537868499756
S013,80.0,91.98194432258606,80.0,46.25674486160278
S014,83.60215053763442,112.90200185775757,80.64516129032258,60.169609785079956
S015,80.8108108108108,104.26497602462769,81.62162162162161,56.796770334243774
S016,90.05376344086021,104.03515362739563,90.32258064516128,54.97521162033081
S017,86.29032258064517,98.45343279838562,84.13978494623656,58.73081684112549
S018,86.29032258064517,103.59373307228088,84.40860215053763,58.59250235557556
S019,72.84946236559139,106.73471236228943,68.81720430107528,61.45042061805725
S020,69.89247311827957,102.28690147399902,72.04301075268818,55.591147661209106
S021,86.02150537634408,105.65137457847595,83.60215053763442,63.01906394958496
S022,67.74193548387096,93.09088945388794,64.51612903225806,51.44725584983826
S023,84.67741935483872,93.46897339820862,81.98924731182797,46.42953372001648
S024,77.6595744680851,95.117360830307,75.53191489361703,46.49300193786621
S025,83.60215053763442,91.84268260002136,82.52688172043011,49.03316903114319
S026,68.01075268817203,91.91188192367554,65.86021505376344,47.88882327079773
S027,70.43010752688173,91.71447491645813,71.23655913978494,47.14612007141113
S029,78.07486631016043,91.94586086273193,78.34224598930481,47.36712956428528
S031,92.20430107526882,91.52699398994446,89.78494623655914,49.899391412734985
S032,91.66666666666666,91.8107442855835,91.12903225806451,50.37719416618347
S033,56.18279569892473,91.56699633598328,58.87096774193549,51.870755672454834
S034,83.33333333333334,93.69243884086609,87.63440860215054,53.35851073265076
S035,83.24468085106383,91.98387718200684,84.57446808510637,52.08444833755493
S036,79.56989247311827,91.81307339668274,79.03225806451613,47.09367060661316
S037,78.61111111111111,91.90605092048645,76.94444444444444,45.49222278594971
S038,78.49462365591397,91.68579435348511,79.03225806451613,45.46726322174072
S039,70.38043478260869,91.79182457923889,67.66304347826086,46.547532081604004
S040,80.64516129032258,92.0546510219574,79.83870967741935,50.52845859527588
S041,88.97849462365592,91.82113981246948,87.09677419354838,46.054919719696045
S042,80.10752688172043,91.95739722251892,77.41935483870968,44.97217035293579
S043,76.0752688172043,91.88726115226746,75.26881720430107,51.49764037132263
S044,70.43010752688173,91.64848303794861,72.84946236559139,46.19256901741028
S045,86.55913978494624,93.08777093887329,83.33333333333334,49.65795350074768
S046,70.58823529411765,92.37816405296326,71.65775401069519,43.713961124420166
S047,76.0752688172043,91.66530752182007,74.19354838709677,45.7988920211792
S048,74.46236559139786,92.00246834754944,73.38709677419355,47.75797200202942
S049,84.67741935483872,91.6288628578186,80.10752688172043,50.54663038253784
S050,90.86021505376344,92.20523715019226,89.51612903225806,48.62496542930603
S051,80.91397849462365,91.86088109016418,81.45161290322581,46.9580283164978
S052,80.3763440860215,91.59602332115173,80.91397849462365,47.674766540527344
S053,90.86021505376344,91.52107119560242,90.59139784946237,43.77328062057495
S054,73.9247311827957,91.62763714790344,72.04301075268818,46.945878982543945
S055,85.75268817204301,91.9452064037323,87.90322580645162,45.16687202453613
S056,72.84946236559139,91.61810731887817,70.96774193548387,44.69348764419556
S057,86.29032258064517,91.92101001739502,85.48387096774194,49.33144950866699
S058,77.23577235772358,91.94049143791199,77.23577235772358,50.00878834724426
S060,81.18279569892472,91.91423678398132,80.91397849462365,47.39383792877197
S061,81.72043010752688,91.83428025245667,80.10752688172043,45.95702362060547
S062,77.41935483870968,91.79543089866638,72.31182795698925,51.998990535736084
S063,70.6989247311828,92.33355069160461,67.20430107526882,49.65698504447937
S064,65.05376344086021,91.58014035224915,67.74193548387096,45.19376015663147
S065,60.483870967741936,91.5344021320343,61.29032258064516,46.349130153656006
S066,79.03225806451613,91.4254138469696,79.56989247311827,49.30991888046265
S067,70.43010752688173,92.56277656555176,69.35483870967742,50.194329023361206
S068,71.50537634408603,91.67532896995544,71.7741935483871,47.70614790916443
S069,73.9247311827957,80.74398422241211,73.9247311827957,38.318984031677246
S070,86.55913978494624,72.93878030776978,87.09677419354838,38.74849987030029
S071,71.08108108108108,74.30973100662231,68.91891891891892,39.5393123626709
S072,77.41935483870968,71.93015885353088,78.76344086021506,37.5587420463562
S073,77.00534759358288,71.31816983222961,75.66844919786097,37.51890683174133
S074,85.75268817204301,77.95831894874573,81.98924731182797,39.389652490615845
S075,83.33333333333334,85.71187806129456,81.98924731182797,45.209418296813965
S076,83.06451612903226,81.21375560760498,79.83870967741935,38.309470653533936
S077,83.60215053763442,79.5705943107605,75.80645161290323,38.12566542625427
S078,69.35483870967742,72.29763317108154,70.96774193548387,38.72514295578003
S079,77.41935483870968,77.3934075832367,78.2258064516129,43.7803373336792
S080,68.81720430107528,74.49456429481506,72.04301075268818,36.45704674720764
S081,69.89247311827957,72.19196820259094,67.47311827956989,42.46587800979614
S082,74.19354838709677,73.683109998703,75.53763440860214,36.487221002578735
S083,76.34408602150538,91.35699605941772,70.96774193548387,44.184086084365845
S084,80.10752688172043,84.78689098358154,81.18279569892472,40.39643049240112
S085,64.24731182795699,93.82548880577087,68.54838709677419,46.870235443115234
S086,62.634408602150536,84.44394063949585,61.55913978494624,48.05552840232849
S087,80.10752688172043,89.55381107330322,81.18279569892472,50.07325100898743
S088,73.38709677419355,88.98067569732666,70.96774193548387,43.6478967666626
S089,80.3763440860215,91.59638810157776,78.2258064516129,56.52044320106506
S090,81.18279569892472,84.03175759315491,81.45161290322581,35.858749866485596
S091,61.82795698924731,76.15322542190552,66.12903225806451,39.48124837875366
S092,74.19354838709677,75.94706583023071,73.38709677419355,41.99300765991211
S093,80.91397849462365,77.81203436851501,78.76344086021506,41.69041633605957
S094,72.58064516129032,78.8031096458435,73.65591397849462,44.339081048965454
S095,74.46236559139786,73.94138097763062,69.08602150537635,39.32606530189514
S096,69.35483870967742,74.39330768585205,70.43010752688173,38.29575967788696
S097,65.32258064516128,73.26876521110535,63.44086021505376,45.02447009086609
S098,79.56989247311827,78.57940816879272,79.56989247311827,42.5334677696228
S099,84.13978494623656,73.64710140228271,84.40860215053763,37.620959758758545
S100,70.8108108108108,73.96876549720764,64.5945945945946,37.475133657455444
S101,75.80645161290323,73.66256499290466,76.61290322580645,36.00950622558594
S102,60.483870967741936,73.82678031921387,67.20430107526882,39.81874418258667
S103,81.45161290322581,84.41555643081665,77.68817204301075,54.1553168296814
S104,86.02150537634408,78.09683585166931,84.40860215053763,39.08354187011719
S105,75.80645161290323,72.15437197685242,75.26881720430107,35.961082458496094
S106,78.49462365591397,72.02316427230835,78.2258064516129,40.914167165756226
S107,71.23655913978494,70.36694240570068,72.58064516129032,38.504236459732056
S109,79.3010752688172,72.63260126113892,75.80645161290323,36.95241618156433
