subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.7121,0.7276478679504814,0.6783105377681069,0.702113539928007,0.75,0.25,0.32,0.68

split_1,0.6926,0.6941997349341233,0.6907264476593103,0.6924587359293893,0.69,0.31,0.31,0.69

split_2,0.7243,0.7224497681607419,0.727481420956383,0.7249568639615362,0.72,0.28,0.27,0.73

split_3,0.6916,0.6918465697606081,0.6880991349076455,0.6899677639933574,0.7,0.3,0.31,0.69

split_4,0.6489,0.661145945945946,0.5991457010737519,0.6286207676335752,0.7,0.3,0.39,0.61

split_5,0.657,0.6592102703754134,0.6559693403530504,0.6575858121349709,0.66,0.34,0.34,0.66

split_6,0.636,0.6354839943396948,0.6436567886887469,0.6395442823601863,0.63,0.37,0.36,0.64

split_7,0.6447,0.6499491559894245,0.6228658298900757,0.6361193495093453,0.67,0.33,0.37,0.63

split_8,0.7073,0.7248943028171962,0.6710975042629049,0.6969593302879681,0.75,0.25,0.33,0.67

split_9,0.6301,0.6452814038091162,0.5838593501916896,0.61303569976417,0.68,0.32,0.42,0.58
