subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.8279,0.8384667221627621,0.8156403038599468,0.8268960125097733,0.84,0.16,0.18,0.82

split_1,0.7864,0.7918621614162362,0.7785099620125591,0.7851292977072378,0.79,0.21,0.22,0.78

split_2,0.7994,0.8069910024683494,0.7873985161014645,0.7970743791903424,0.81,0.19,0.21,0.79

split_3,0.7971,0.8070695102685624,0.7863244574418963,0.7965619396585328,0.81,0.19,0.20,0.78

split_4,0.7177,0.7490027615833078,0.6600100428753525,0.7016960289105171,0.78,0.22,0.34,0.66

split_5,0.7663,0.7825396161725969,0.7328112764291308,0.7568594941059911,0.8,0.2,0.27,0.73

split_6,0.7316,0.7577005577005577,0.6839374225526642,0.7189319005169538,0.78,0.22,0.32,0.68

split_7,0.7112,0.7387295985884429,0.651964028496905,0.6926401555100606,0.77,0.23,0.35,0.65

split_8,0.7891,0.7884451337727801,0.7902530022152268,0.7893480328409775,0.79,0.21,0.21,0.79

split_9,0.6969,0.7189369338574603,0.6510350164441865,0.6833032142784625,0.75,0.25,0.35,0.65
