subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.6273,0.6383595691797845,0.5959010054137664,0.6164000000000001,0.66,0.34,0.40,0.60

split_1,0.6219,0.63390875462392,0.5938089554537405,0.6132039838578216,0.65,0.35,0.41,0.59

split_2,0.6256,0.6483087796594612,0.5490089389817334,0.5945411309160546,0.7,0.3,0.45,0.55

split_3,0.6177,0.6439549916207805,0.5236537787641631,0.5776069403882494,0.71,0.29,0.47,0.53

split_4,0.594,0.6097286087818953,0.5250184387252048,0.5642116680224434,0.66,0.34,0.48,0.52

split_5,0.5798,0.6186007305422871,0.4259567387687188,0.5045144140428066,0.74,0.26,0.58,0.42

split_6,0.589,0.5921094622626456,0.5760915971278867,0.5839907146932112,0.6,0.4,0.43,0.57

split_7,0.5759,0.6104638734501924,0.44009092310063186,0.5114623444076297,0.71,0.29,0.56,0.44

split_8,0.6638,0.6609245119795388,0.6796101485148515,0.6701371012337204,0.65,0.35,0.32,0.68

split_9,0.5822,0.5954987301865312,0.5259290769171275,0.5585559685401565,0.64,0.36,0.47,0.53
