subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.7096,0.7158283377664854,0.6984969396451538,0.7070564476599416,0.72,0.28,0.3,0.7

split_1,0.6899,0.6971347940265746,0.6836036590053041,0.6903029244532417,0.7,0.3,0.32,0.68

split_2,0.6992,0.7022658849627634,0.6900202397633505,0.6960892099890058,0.71,0.29,0.31,0.69

split_3,0.6857,0.6921370967741935,0.6677948957360722,0.6797481387612863,0.7,0.3,0.33,0.67

split_4,0.6426,0.6784056271981243,0.5564872869946532,0.6114280884155361,0.73,0.26,0.45,0.56

split_5,0.6589,0.6743926517297623,0.6119094909841493,0.6416334864726903,0.71,0.29,0.39,0.61

split_6,0.6322,0.6481235256272786,0.5849041997290497,0.6148931841302138,0.68,0.32,0.42,0.58

split_7,0.6409,0.6470752756912258,0.6267899992259462,0.6367711241300672,0.66,0.34,0.38,0.62

split_8,0.71,0.7139306474243335,0.695745595186936,0.7047208262435203,0.72,0.28,0.3,0.7

split_9,0.6286,0.6539630688262783,0.5565250965250965,0.6013224588556767,0.7,0.3,0.45,0.56
