subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.8177,0.8134132918358826,0.8275475923852184,0.8204195697113543,0.81,0.19,0.17,0.83

split_1,0.78,0.7630514705882353,0.8097932110807647,0.7857278061707363,0.75,0.25,0.19,0.81

split_2,0.7889,0.7756517224756183,0.8129104970657961,0.7938441686591521,0.76,0.24,0.19,0.81

split_3,0.7943,0.7699825230944823,0.8392815488686727,0.8031399393589911,0.75,0.25,0.16,0.84

split_4,0.7135,0.7068516247700797,0.7223527568922306,0.7145181282925318,0.7,0.3,0.28,0.72

split_5,0.7644,0.7825642284405171,0.7375462677359654,0.7593886462882097,0.79,0.21,0.26,0.74

split_6,0.7208,0.7011277526770785,0.767684636958554,0.7328982354363065,0.67,0.33,0.23,0.77

split_7,0.7078,0.7254354529544129,0.6733580877233697,0.6984273449410255,0.74,0.26,0.33,0.67

split_8,0.778,0.7584544513087883,0.8200702729835129,0.7880598122518646,0.74,0.26,0.18,0.82

split_9,0.6889,0.6922656889894302,0.6862168954185193,0.6892280211245728,0.69,0.31,0.31,0.69
