subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.6288,0.6097983071646581,0.7431266536293569,0.6698928447977878,0.51,0.49,0.26,0.74

split_1,0.6186,0.6005984748544033,0.721363425568094,0.6554648406636818,0.51,0.49,0.28,0.72

split_2,0.6305,0.608679891913267,0.7212698660627124,0.6602090965954786,0.54,0.46,0.28,0.72

split_3,0.6208,0.606075134413205,0.6884506165635819,0.644641946528739,0.55,0.45,0.31,0.69

split_4,0.5874,0.5764067975930701,0.6743250560841649,0.6215329768270944,0.5,0.5,0.33,0.67

split_5,0.5838,0.5948073356686585,0.5547526617211823,0.5740821765244023,0.61,0.39,0.45,0.55

split_6,0.5813,0.5803977169447777,0.6148424863282754,0.597123782095637,0.55,0.45,0.39,0.61

split_7,0.5956,0.5831605697853274,0.676362226100446,0.6263130487870573,0.51,0.49,0.32,0.68

split_8,0.6567,0.6560100836484474,0.6648730257045525,0.6604118201218927,0.65,0.35,0.34,0.66

split_9,0.5784,0.5701644770171231,0.6531259671928196,0.6088320680887895,0.5,0.5,0.35,0.65
