subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.6168,0.6619718309859155,0.6119791666666666,0.6359945872801083,0.62,0.38,0.40,0.60

split_1,0.6184,0.6898954703832753,0.5469613259668509,0.6101694915254238,0.7,0.3,0.45,0.55

split_2,0.6316,0.680327868852459,0.6148148148148148,0.6459143968871596,0.65,0.35,0.39,0.61

split_3,0.628,0.6816901408450704,0.5931372549019608,0.6343381389252949,0.67,0.33,0.41,0.59

split_4,0.5601,0.6245847176079734,0.48704663212435234,0.5473071324599709,0.65,0.35,0.51,0.49

split_5,0.5767,0.6111111111111112,0.6095717884130982,0.6103404791929383,0.54,0.46,0.39,0.61

split_6,0.6059,0.6573816155988857,0.5770171149144254,0.6145833333333333,0.64,0.36,0.42,0.58

split_7,0.5804,0.615606936416185,0.6016949152542372,0.6085714285714287,0.56,0.44,0.4,0.6

split_8,0.6167,0.6782334384858044,0.5672823218997362,0.6178160919540231,0.68,0.32,0.43,0.57

split_9,0.5863,0.6587837837837838,0.5012853470437018,0.5693430656934306,0.69,0.31,0.5,0.5
