subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,0.5579,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.37,0.63,0.32,0.68

split_1,0.5556,0.6391752577319587,0.6019417475728155,0.62,0.49,0.51,0.4,0.6

split_2,0.5838,0.6180555555555556,0.8018018018018018,0.6980392156862745,0.26,0.74,0.2,0.8

split_3,0.6216,0.6453900709219859,0.8198198198198198,0.7222222222222222,0.32,0.68,0.18,0.82

split_4,0.5179,0.6138613861386139,0.5299145299145299,0.5688073394495412,0.5,0.5,0.47,0.53

split_5,0.5946,0.6323529411764706,0.7747747747747747,0.6963562753036436,0.32,0.68,0.23,0.77

split_6,0.5778,0.6025641025641025,0.8703703703703703,0.712121212121212,0.14,0.86,0.13,0.87

split_7,0.5484,0.6333333333333333,0.6063829787234043,0.6195652173913044,0.46,0.54,0.39,0.61

split_8,0.5801,0.6434782608695652,0.6788990825688074,0.6607142857142857,0.43,0.57,0.32,0.68

split_9,0.5838,0.6231884057971014,0.7747747747747747,0.6907630522088353,0.3,0.7,0.23,0.77
