subject,accuracy,recall,precision,f1,tn,fn,fp,tp
1,88.89,0.9,0.9,0.9,0.8888888888888888,0.09876543209876543,0.125,0.8888888888888888
10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
14,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.16,0.25,0.8
15,70.53,0.782051282051282,0.782051282051282,0.782051282051282,0.8111111111111111,0.17,0.43333333333333335,0.61
17,70.36,0.7072243346007605,0.7072243346007605,0.7072243346007605,0.6791666666666667,0.30078125,0.2916666666666667,0.7265625
19,64.03999999999999,0.6684210526315789,0.6684210526315789,0.6684210526315789,0.6785714285714286,0.3,0.42346938775510207,0.6047619047619047
2,59.06,0.6013071895424836,0.6013071895424836,0.6013071895424836,0.5378787878787878,0.4236111111111111,0.3939393939393939,0.6388888888888888
20,70.69,0.7382198952879581,0.7382198952879581,0.7382198952879581,0.7448979591836735,0.23809523809523808,0.3520408163265306,0.6714285714285714
21,68.89,0.72,0.72,0.72,0.65,0.28,0.35,0.72
23,60.28,0.6146953405017921,0.6146953405017921,0.6146953405017921,0.6105072463768116,0.3732638888888889,0.4221014492753623,0.5954861111111112
25,72.63,0.7422680412371134,0.7422680412371134,0.7422680412371134,0.7252747252747253,0.25252525252525254,0.2967032967032967,0.7272727272727273
28,68.26,0.717434869739479,0.717434869739479,0.717434869739479,0.7450271247739603,0.24521739130434783,0.3924050632911392,0.6226086956521739
29,77.94,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.875,0.1111111111111111,0.34375,0.6944444444444444
3,75.73,0.76,0.76,0.76,0.745,0.24285714285714285,0.2425,0.7690476190476191
30,82.04,0.8661844484629295,0.8661844484629295,0.8661844484629295,0.8766666666666667,0.1184,0.24333333333333335,0.7664
31,83.33,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9107142857142857,0.078125,0.26785714285714285,0.765625
32,97.22,1.0,1.0,1.0,1.0,0.0,0.0625,0.95
33,75.0,0.8,0.8,0.8,0.75,0.1875,0.3333333333333333,0.75
35,64.72,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6847034339229969,0.30544354838709675,0.4016649323621228,0.6108870967741935
36,88.89,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9375,0.05,0.1875,0.85
37,98.18,0.967741935483871,0.967741935483871,0.967741935483871,0.96,0.03333333333333333,0.0,1.0
38,76.19,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7777777777777778,0.16666666666666666,0.3333333333333333,0.75
39,66.01,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6805555555555556,0.2839506172839506,0.4027777777777778,0.6419753086419753
6,80.69,0.8190045248868778,0.8190045248868778,0.8190045248868778,0.8095238095238095,0.17777777777777778,0.20952380952380953,0.8044444444444444
