subject,accuracy,recall,precision,f1,tn,fn,fp,tp

split_0,85.35000000000001,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8804347826086957,0.11956521739130435,0.16981132075471697,0.8301886792452831
split_1,69.36,0.7264957264957265,0.7264957264957265,0.7264957264957265,0.7090909090909091,0.2909090909090909,0.32,0.68
split_2,59.93000000000001,0.65,0.65,0.65,0.7165492957746479,0.2834507042253521,0.5098360655737705,0.4901639344262295
split_3,59.419999999999995,0.6065573770491803,0.6065573770491803,0.6065573770491803,0.5555555555555556,0.4444444444444444,0.3702127659574468,0.6297872340425532
split_4,58.989999999999995,0.6140350877192983,0.6140350877192983,0.6140350877192983,0.6505016722408027,0.3494983277591973,0.468,0.532
split_5,68.41000000000001,0.7159090909090909,0.7159090909090909,0.7159090909090909,0.7306034482758621,0.26939655172413796,0.3597560975609756,0.6402439024390244
split_6,73.75,0.798932384341637,0.798932384341637,0.798932384341637,0.8277439024390244,0.1722560975609756,0.3483309143686502,0.6516690856313497
split_7,64.8,0.6901913875598086,0.6901913875598086,0.6901913875598086,0.7381193124368048,0.26188068756319516,0.438715953307393,0.561284046692607
split_8,80.22,0.82,0.82,0.82,0.7804878048780488,0.21951219512195122,0.18,0.82
split_9,66.83,0.6870967741935484,0.6870967741935484,0.6870967741935484,0.6666666666666666,0.3333333333333333,0.330188679245283,0.6698113207547169
