subject,accuracy,recall,precision,f1,tn,fn,fp,tp

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.09876543209876543,0.125,0.8888888888888888
10,57.78,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.1,0.72,0.05,0.96
14,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.16,0.25,0.8
15,73.16,0.7525773195876289,0.7525773195876289,0.7525773195876289,0.7333333333333333,0.24,0.3,0.73
17,70.56,0.7330508474576272,0.7330508474576272,0.7330508474576272,0.7375,0.24609375,0.3458333333333333,0.67578125
19,51.970000000000006,0.5214899713467048,0.5214899713467048,0.5214899713467048,0.14795918367346939,0.7952380952380952,0.14285714285714285,0.8666666666666667
2,52.17,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.0,0.9166666666666666,0.0,1.0
20,70.44,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6938775510204082,0.2857142857142857,0.30612244897959184,0.7142857142857143
21,86.67,1.0,1.0,1.0,1.0,0.0,0.3,0.76
23,53.900000000000006,0.5337349397590362,0.5337349397590362,0.5337349397590362,0.29891304347826086,0.671875,0.24094202898550723,0.7690972222222222
25,54.21,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.16483516483516483,0.7676767676767676,0.12087912087912088,0.8888888888888888
28,50.980000000000004,0.5097517730496454,0.5097517730496454,0.5097517730496454,0.0,0.9617391304347827,0.0,1.0
29,77.94,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.765625,0.20833333333333334,0.234375,0.7916666666666666
3,81.95,0.8238095238095238,0.8238095238095238,0.8238095238095238,0.815,0.1761904761904762,0.185,0.8238095238095238
30,86.69,0.8862876254180602,0.8862876254180602,0.8862876254180602,0.8866666666666667,0.1088,0.15833333333333333,0.848
31,85.83,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.875,0.109375,0.17857142857142858,0.84375
32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
33,57.14,0.625,0.625,0.625,0.5,0.375,0.5,0.625
35,68.10000000000001,0.7496617050067659,0.7496617050067659,0.7496617050067659,0.8074921956295525,0.18649193548387097,0.4557752341311134,0.5584677419354839
36,88.89,1.0,1.0,1.0,1.0,0.0,0.25,0.8
37,89.09,1.0,1.0,1.0,1.0,0.0,0.24,0.8
38,85.71,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.75
39,66.01,0.704225352112676,0.704225352112676,0.704225352112676,0.7083333333333334,0.25925925925925924,0.4305555555555556,0.6172839506172839
6,74.71,0.7533039647577092,0.7533039647577092,0.7533039647577092,0.7333333333333333,0.24888888888888888,0.2571428571428571,0.76
