subj,accuracy,cm,best_epoch
1,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",7
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",6
14,83.33,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.         1.        ]]",2
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",5
17,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",10
19,87.5,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.1875 0.8125]]",20
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",10
20,83.33,"[[       nan        nan        nan]
 [0.         0.8        0.2       ]
 [0.         0.13333333 0.86666667]]",12
21,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
23,79.63,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.33333333 0.66666667]]",10
25,86.36,"[[       nan        nan        nan]
 [0.         0.72727273 0.27272727]
 [0.         0.         1.        ]]",7
28,85.71,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.03571429 0.21428571 0.75      ]]",5
29,85.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.2 0.8]]",8
3,73.91,"[[       nan        nan        nan]
 [0.         0.82608696 0.17391304]
 [0.         0.34782609 0.65217391]]",10
30,88.89,"[[       nan        nan        nan]
 [0.         0.85185185 0.14814815]
 [0.         0.07407407 0.92592593]]",7
31,75.0,"[[ nan  nan  nan]
 [0.   0.75 0.25]
 [0.   0.25 0.75]]",7
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",9
35,88.24,"[[       nan        nan        nan]
 [0.         0.88235294 0.11764706]
 [0.         0.11764706 0.88235294]]",10
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",7
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",17
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",5
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",10
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.23529412 0.76470588]]",17
