subj,accuracy,cm,best_epoch

1,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4

10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1

14,91.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.16666667 0.83333333]]",4

15,88.89,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.11111111 0.88888889]]",2

17,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",1

19,84.38,"[[   nan    nan    nan]
 [0.     0.875  0.125 ]
 [0.     0.1875 0.8125]]",3

2,96.15,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.07692308 0.92307692]]",3

20,86.67,"[[       nan        nan        nan]
 [0.         0.86666667 0.13333333]
 [0.         0.13333333 0.86666667]]",10

21,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1

23,79.63,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.37037037 0.62962963]]",4

25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",3

28,87.5,"[[ nan  nan  nan]
 [0.   1.   0.  ]
 [0.   0.25 0.75]]",2

29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",3

3,78.25999999999999,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.39130435 0.60869565]]",2

30,90.74,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.07407407 0.92592593]]",5

31,81.25,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.25  0.75 ]]",9

32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2

33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1

35,88.24,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.17647059 0.82352941]]",3

36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",3

37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",1

38,66.67,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.         1.        ]]",1

39,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",3

6,91.18,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.11764706 0.88235294]]",9
