subj,accuracy,cm,best_epoch

1,77.08,"[[0.61904762 0.33333333 0.04761905]
 [0.09615385 0.86538462 0.03846154]
 [0.04347826 0.26086957 0.69565217]]",6

10,96.67,"[[1.         0.         0.        ]
 [0.02631579 0.94736842 0.02631579]
 [0.         0.         1.        ]]",12

14,93.06,"[[0.86666667 0.13333333 0.        ]
 [0.02222222 0.93333333 0.04444444]
 [0.         0.         1.        ]]",19

15,84.26,"[[0.78571429 0.21428571 0.        ]
 [0.10169492 0.84745763 0.05084746]
 [0.         0.0952381  0.9047619 ]]",13

17,61.11,"[[0.42857143 0.52380952 0.04761905]
 [0.12621359 0.75728155 0.11650485]
 [0.05714286 0.54285714 0.4       ]]",16

19,71.35000000000001,"[[0.51111111 0.48888889 0.        ]
 [0.08181818 0.83636364 0.08181818]
 [0.02702703 0.37837838 0.59459459]]",15

2,64.1,"[[0.56097561 0.41463415 0.02439024]
 [0.13580247 0.69135802 0.17283951]
 [0.02941176 0.35294118 0.61764706]]",6

20,77.22,"[[0.78571429 0.21428571 0.        ]
 [0.10784314 0.78431373 0.10784314]
 [0.11111111 0.16666667 0.72222222]]",5

21,90.0,"[[1.         0.         0.        ]
 [0.05555556 0.86111111 0.08333333]
 [0.         0.09090909 0.90909091]]",16

23,64.51,"[[0.6        0.34285714 0.05714286]
 [0.13513514 0.65945946 0.20540541]
 [0.08695652 0.26086957 0.65217391]]",10

25,81.06,"[[0.78125    0.21875    0.        ]
 [0.11594203 0.75362319 0.13043478]
 [0.         0.03225806 0.96774194]]",9

28,71.73,"[[0.8        0.1625     0.0375    ]
 [0.15675676 0.7027027  0.14054054]
 [0.01408451 0.32394366 0.66197183]]",20

29,65.83,"[[0.64       0.36       0.        ]
 [0.20547945 0.68493151 0.10958904]
 [0.04545455 0.36363636 0.59090909]]",9

3,72.1,"[[0.62121212 0.34848485 0.03030303]
 [0.10666667 0.8        0.09333333]
 [0.         0.36666667 0.63333333]]",17

30,72.84,"[[0.80555556 0.18055556 0.01388889]
 [0.18404908 0.65030675 0.16564417]
 [0.02247191 0.16853933 0.80898876]]",15

31,75.0,"[[0.66666667 0.28571429 0.04761905]
 [0.14       0.78       0.08      ]
 [0.04       0.2        0.76      ]]",12

32,81.67,"[[0.41666667 0.58333333 0.        ]
 [0.02631579 0.92105263 0.05263158]
 [0.         0.1        0.9       ]]",13

33,89.58,"[[0.81818182 0.18181818 0.        ]
 [0.03333333 0.93333333 0.03333333]
 [0.         0.14285714 0.85714286]]",3

35,78.92,"[[0.78888889 0.21111111 0.        ]
 [0.10043668 0.8209607  0.07860262]
 [0.01123596 0.28089888 0.70786517]]",18

36,73.33,"[[0.64285714 0.28571429 0.07142857]
 [0.20588235 0.73529412 0.05882353]
 [0.         0.16666667 0.83333333]]",8

37,90.0,"[[0.92857143 0.07142857 0.        ]
 [0.07692308 0.88461538 0.03846154]
 [0.         0.1        0.9       ]]",9

38,86.11,"[[0.625     0.375     0.       ]
 [0.0952381 0.9047619 0.       ]
 [0.        0.        1.       ]]",4

39,78.33,"[[0.61538462 0.38461538 0.        ]
 [0.07246377 0.91304348 0.01449275]
 [0.         0.4        0.6       ]]",5

6,72.06,"[[0.72916667 0.25       0.02083333]
 [0.13461538 0.76923077 0.09615385]
 [0.01923077 0.36538462 0.61538462]]",9

