subj,accuracy,cm,best_epoch
1,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",6
10,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",3
14,91.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.16666667 0.83333333]]",7
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",10
17,73.33,"[[       nan        nan        nan]
 [0.06666667 0.93333333 0.        ]
 [0.         0.46666667 0.53333333]]",5
19,84.38,"[[   nan    nan    nan]
 [0.     1.     0.    ]
 [0.     0.3125 0.6875]]",16
2,88.46000000000001,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23076923 0.76923077]]",11
20,66.67,"[[       nan        nan        nan]
 [0.         0.73333333 0.26666667]
 [0.         0.4        0.6       ]]",10
21,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",9
23,75.92999999999999,"[[       nan        nan        nan]
 [0.07407407 0.92592593 0.        ]
 [0.         0.40740741 0.59259259]]",10
25,90.91,"[[       nan        nan        nan]
 [0.09090909 0.90909091 0.        ]
 [0.         0.09090909 0.90909091]]",10
28,75.0,"[[       nan        nan        nan]
 [0.17857143 0.82142857 0.        ]
 [0.         0.32142857 0.67857143]]",14
29,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",8
3,71.74000000000001,"[[       nan        nan        nan]
 [0.08695652 0.91304348 0.        ]
 [0.         0.47826087 0.52173913]]",5
30,87.03999999999999,"[[       nan        nan        nan]
 [0.03703704 0.92592593 0.03703704]
 [0.         0.18518519 0.81481481]]",19
31,62.5,"[[  nan   nan   nan]
 [0.125 0.625 0.25 ]
 [0.    0.375 0.625]]",10
32,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",6
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",7
35,82.35,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.26470588 0.73529412]]",9
36,70.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.6 0.4]]",2
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",8
38,66.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.33333333 0.33333333]]",2
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",19
6,79.41,"[[       nan        nan        nan]
 [0.05882353 0.94117647 0.        ]
 [0.         0.35294118 0.64705882]]",11
