subj,accuracy,cm,best_epoch
1,68.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.625 0.375]]",10
10,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",5
14,66.67,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.5        0.5       ]]",10
15,77.78,"[[       nan        nan        nan]
 [0.         0.77777778 0.22222222]
 [0.         0.22222222 0.77777778]]",10
17,60.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.8 0.2]]",8
19,59.38,"[[   nan    nan    nan]
 [0.     0.5    0.5   ]
 [0.     0.3125 0.6875]]",16
2,53.849999999999994,"[[       nan        nan        nan]
 [0.         0.38461538 0.61538462]
 [0.         0.30769231 0.69230769]]",11
20,63.33,"[[       nan        nan        nan]
 [0.         0.53333333 0.46666667]
 [0.         0.26666667 0.73333333]]",19
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",6
23,62.96000000000001,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.40740741 0.59259259]]",12
25,59.089999999999996,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.81818182 0.18181818]]",6
28,55.36,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.85714286 0.14285714]]",8
29,75.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.3 0.7]]",11
3,58.699999999999996,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.7826087  0.2173913 ]]",5
30,61.11,"[[       nan        nan        nan]
 [0.         0.81481481 0.18518519]
 [0.         0.59259259 0.40740741]]",8
31,62.5,"[[ nan  nan  nan]
 [0.   1.   0.  ]
 [0.   0.75 0.25]]",4
32,70.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.4 0.6]]",17
33,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]",1
35,61.760000000000005,"[[       nan        nan        nan]
 [0.         0.73529412 0.26470588]
 [0.         0.5        0.5       ]]",9
36,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",8
37,70.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.  1. ]]",9
38,66.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.66666667 0.33333333]]",5
39,75.0,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  0.  1. ]]",14
6,55.879999999999995,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.88235294 0.11764706]]",9
