subj,accuracy,cm,best_epoch
1,81.25,"[[  nan   nan   nan]
 [0.125 0.875 0.   ]
 [0.    0.25  0.75 ]]",8
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",8
14,83.33,"[[       nan        nan        nan]
 [0.16666667 0.83333333 0.        ]
 [0.         0.16666667 0.83333333]]",13
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",16
17,80.0,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.33333333 0.66666667]]",3
19,81.25,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.0625 0.25   0.6875]]",3
2,84.61999999999999,"[[       nan        nan        nan]
 [0.15384615 0.84615385 0.        ]
 [0.         0.15384615 0.84615385]]",5
20,76.67,"[[       nan        nan        nan]
 [0.2        0.73333333 0.06666667]
 [0.13333333 0.06666667 0.8       ]]",5
21,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",10
23,66.67,"[[       nan        nan        nan]
 [0.25925926 0.74074074 0.        ]
 [0.22222222 0.18518519 0.59259259]]",18
25,77.27000000000001,"[[       nan        nan        nan]
 [0.27272727 0.63636364 0.09090909]
 [0.         0.09090909 0.90909091]]",10
28,76.79,"[[       nan        nan        nan]
 [0.17857143 0.78571429 0.03571429]
 [0.10714286 0.14285714 0.75      ]]",20
29,80.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.3 0.7]]",2
3,63.04,"[[       nan        nan        nan]
 [0.17391304 0.73913043 0.08695652]
 [0.08695652 0.39130435 0.52173913]]",18
30,83.33,"[[       nan        nan        nan]
 [0.14814815 0.77777778 0.07407407]
 [0.07407407 0.03703704 0.88888889]]",16
31,50.0,"[[  nan   nan   nan]
 [0.375 0.625 0.   ]
 [0.375 0.25  0.375]]",5
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
33,87.5,"[[ nan  nan  nan]
 [0.25 0.75 0.  ]
 [0.   0.   1.  ]]",9
35,82.35,"[[       nan        nan        nan]
 [0.05882353 0.94117647 0.        ]
 [0.02941176 0.26470588 0.70588235]]",4
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",4
37,80.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  0.2 0.8]]",2
38,66.67,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.         1.        ]]",7
39,85.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.1 0.2 0.7]]",2
6,58.81999999999999,"[[       nan        nan        nan]
 [0.47058824 0.52941176 0.        ]
 [0.17647059 0.17647059 0.64705882]]",13
