subj,accuracy,cm
1,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
10,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
14,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
15,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
17,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
19,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
2,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.07692308 0.92307692 0.        ]]"
20,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
21,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
23,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
25,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
28,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
29,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
3,47.82608695652174,"[[       nan        nan        nan]
 [0.04347826 0.95652174 0.        ]
 [0.         1.         0.        ]]"
30,51.85185185185185,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.96296296 0.03703704]]"
31,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
32,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
33,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
35,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
36,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
37,60.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.8 0.2]]"
38,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.66666667 0.        ]]"
39,45.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  1.  0. ]]"
6,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
