subj,accuracy,cm
1,56.25,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.875 0.125]]"
10,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
14,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
15,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
17,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
19,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
2,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.15384615 0.84615385 0.        ]]"
20,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.06666667 0.93333333 0.        ]]"
21,40.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  1.  0. ]]"
23,50.0,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.03703704 0.92592593 0.03703704]]"
25,45.45454545454545,"[[       nan        nan        nan]
 [0.09090909 0.90909091 0.        ]
 [0.09090909 0.90909091 0.        ]]"
28,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
29,40.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  1.  0. ]]"
3,47.82608695652174,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.04347826 0.95652174 0.        ]]"
30,50.0,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.96296296 0.03703704]]"
31,43.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    1.    0.   ]]"
32,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
33,37.5,"[[ nan  nan  nan]
 [0.   0.75 0.25]
 [0.   1.   0.  ]]"
35,54.41176470588235,"[[       nan        nan        nan]
 [0.         0.97058824 0.02941176]
 [0.02941176 0.85294118 0.11764706]]"
36,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
37,40.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  1.  0. ]]"
38,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.66666667 0.        ]]"
39,40.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.1 0.9 0. ]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.11764706 0.88235294 0.        ]
 [0.05882353 0.94117647 0.        ]]"
