subj,accuracy,cm
1,62.5,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.   1.  ]]"
10,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
14,41.666666666666664,"[[       nan        nan        nan]
 [0.         0.16666667 0.83333333]
 [0.         0.33333333 0.66666667]]"
15,50.0,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.33333333 0.66666667]]"
17,60.0,"[[       nan        nan        nan]
 [0.         0.26666667 0.73333333]
 [0.         0.06666667 0.93333333]]"
19,46.875,"[[   nan    nan    nan]
 [0.     0.     1.    ]
 [0.     0.0625 0.9375]]"
2,38.46153846153846,"[[       nan        nan        nan]
 [0.         0.23076923 0.76923077]
 [0.         0.46153846 0.53846154]]"
20,46.666666666666664,"[[       nan        nan        nan]
 [0.         0.06666667 0.93333333]
 [0.         0.13333333 0.86666667]]"
21,70.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.  1. ]]"
23,57.407407407407405,"[[       nan        nan        nan]
 [0.         0.25925926 0.74074074]
 [0.         0.11111111 0.88888889]]"
25,54.54545454545454,"[[       nan        nan        nan]
 [0.         0.27272727 0.72727273]
 [0.         0.18181818 0.81818182]]"
28,51.78571428571429,"[[       nan        nan        nan]
 [0.         0.14285714 0.85714286]
 [0.         0.10714286 0.89285714]]"
29,60.0,"[[nan nan nan]
 [0.  0.3 0.7]
 [0.  0.1 0.9]]"
3,52.17391304347826,"[[       nan        nan        nan]
 [0.         0.17391304 0.82608696]
 [0.         0.13043478 0.86956522]]"
30,53.703703703703695,"[[       nan        nan        nan]
 [0.         0.18518519 0.81481481]
 [0.         0.11111111 0.88888889]]"
31,50.0,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.125 0.875]]"
32,40.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.2 0.8]]"
33,50.0,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.25 0.75]]"
35,60.29411764705882,"[[       nan        nan        nan]
 [0.         0.35294118 0.64705882]
 [0.         0.14705882 0.85294118]]"
36,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
37,40.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.2 0.8]]"
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
39,50.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.2 0.8]]"
6,44.117647058823536,"[[       nan        nan        nan]
 [0.         0.17647059 0.82352941]
 [0.         0.29411765 0.70588235]]"
