subj,accuracy,cm
1,37.5,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.375 0.625]]"
10,60.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.  1. ]]"
14,41.666666666666664,"[[       nan        nan        nan]
 [0.         0.16666667 0.83333333]
 [0.         0.33333333 0.66666667]]"
15,44.44444444444444,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.44444444 0.55555556]]"
17,60.0,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.13333333 0.86666667]]"
19,46.875,"[[   nan    nan    nan]
 [0.     0.0625 0.9375]
 [0.     0.125  0.875 ]]"
2,34.61538461538461,"[[       nan        nan        nan]
 [0.         0.23076923 0.76923077]
 [0.         0.53846154 0.46153846]]"
20,46.666666666666664,"[[       nan        nan        nan]
 [0.         0.06666667 0.93333333]
 [0.         0.13333333 0.86666667]]"
21,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
23,57.407407407407405,"[[       nan        nan        nan]
 [0.         0.40740741 0.59259259]
 [0.         0.25925926 0.74074074]]"
25,54.54545454545454,"[[       nan        nan        nan]
 [0.         0.36363636 0.63636364]
 [0.         0.27272727 0.72727273]]"
28,42.85714285714286,"[[       nan        nan        nan]
 [0.         0.14285714 0.85714286]
 [0.         0.28571429 0.71428571]]"
29,60.0,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  0.3 0.7]]"
3,54.347826086956516,"[[       nan        nan        nan]
 [0.         0.34782609 0.65217391]
 [0.         0.26086957 0.73913043]]"
30,46.29629629629629,"[[       nan        nan        nan]
 [0.         0.18518519 0.81481481]
 [0.         0.25925926 0.74074074]]"
31,43.75,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.25  0.75 ]]"
32,30.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.4 0.6]]"
33,62.5,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.   1.  ]]"
35,55.88235294117647,"[[       nan        nan        nan]
 [0.         0.32352941 0.67647059]
 [0.         0.20588235 0.79411765]]"
36,40.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.4 0.6]]"
37,40.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.2 0.8]]"
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
39,55.00000000000001,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  0.4 0.6]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.         0.29411765 0.70588235]
 [0.         0.41176471 0.58823529]]"
