subj,accuracy,cm
1,37.5,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.5  0.5 ]]"
10,50.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.6 0.4]]"
14,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.33333333 0.66666667]]"
15,38.88888888888889,"[[       nan        nan        nan]
 [0.         0.55555556 0.44444444]
 [0.         0.77777778 0.22222222]]"
17,50.0,"[[       nan        nan        nan]
 [0.         0.26666667 0.73333333]
 [0.         0.26666667 0.73333333]]"
19,56.25,"[[   nan    nan    nan]
 [0.     0.3125 0.6875]
 [0.     0.1875 0.8125]]"
2,26.923076923076927,"[[       nan        nan        nan]
 [0.         0.23076923 0.76923077]
 [0.         0.69230769 0.30769231]]"
20,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.66666667 0.33333333]]"
21,40.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.6 0.4]]"
23,55.55555555555556,"[[       nan        nan        nan]
 [0.         0.59259259 0.40740741]
 [0.         0.48148148 0.51851852]]"
25,36.36363636363637,"[[       nan        nan        nan]
 [0.         0.36363636 0.63636364]
 [0.         0.63636364 0.36363636]]"
28,50.0,"[[       nan        nan        nan]
 [0.         0.39285714 0.60714286]
 [0.         0.39285714 0.60714286]]"
29,55.00000000000001,"[[nan nan nan]
 [0.  0.7 0.3]
 [0.  0.6 0.4]]"
3,47.82608695652174,"[[       nan        nan        nan]
 [0.         0.39130435 0.60869565]
 [0.         0.43478261 0.56521739]]"
30,46.29629629629629,"[[       nan        nan        nan]
 [0.         0.40740741 0.59259259]
 [0.         0.48148148 0.51851852]]"
31,18.75,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.75  0.25 ]]"
32,50.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.4 0.6]]"
33,75.0,"[[ nan  nan  nan]
 [0.   0.75 0.25]
 [0.   0.25 0.75]]"
35,51.47058823529412,"[[       nan        nan        nan]
 [0.         0.35294118 0.64705882]
 [0.         0.32352941 0.67647059]]"
36,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]"
37,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
38,16.666666666666664,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.66666667 0.33333333]]"
39,55.00000000000001,"[[nan nan nan]
 [0.  0.7 0.3]
 [0.  0.6 0.4]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.         0.41176471 0.58823529]
 [0.         0.52941176 0.47058824]]"
