subj,accuracy,cm
1,56.25,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.    1.   ]]"
10,50.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.2 0.8]]"
14,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.33333333 0.66666667]]"
15,44.44444444444444,"[[       nan        nan        nan]
 [0.         0.11111111 0.88888889]
 [0.         0.22222222 0.77777778]]"
17,50.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.2 0.8]]"
19,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
2,38.46153846153846,"[[       nan        nan        nan]
 [0.         0.07692308 0.92307692]
 [0.         0.30769231 0.69230769]]"
20,43.333333333333336,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.13333333 0.86666667]]"
21,40.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.2 0.8]]"
23,57.407407407407405,"[[       nan        nan        nan]
 [0.         0.25925926 0.74074074]
 [0.         0.11111111 0.88888889]]"
25,59.09090909090908,"[[       nan        nan        nan]
 [0.         0.27272727 0.72727273]
 [0.         0.09090909 0.90909091]]"
28,53.57142857142857,"[[       nan        nan        nan]
 [0.         0.14285714 0.85714286]
 [0.         0.07142857 0.92857143]]"
29,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
3,52.17391304347826,"[[       nan        nan        nan]
 [0.         0.13043478 0.86956522]
 [0.         0.08695652 0.91304348]]"
30,50.0,"[[       nan        nan        nan]
 [0.         0.07407407 0.92592593]
 [0.         0.07407407 0.92592593]]"
31,56.25,"[[  nan   nan   nan]
 [0.    0.25  0.75 ]
 [0.    0.125 0.875]]"
32,30.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.4 0.6]]"
33,62.5,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.   1.  ]]"
35,54.41176470588235,"[[       nan        nan        nan]
 [0.         0.20588235 0.79411765]
 [0.         0.11764706 0.88235294]]"
36,60.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.  1. ]]"
37,40.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.2 0.8]]"
38,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.33333333 0.66666667]]"
39,40.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.4 0.6]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.         0.23529412 0.76470588]
 [0.         0.35294118 0.64705882]]"
