subj,accuracy,cm
1,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
10,40.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  1.  0. ]]"
14,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
15,55.55555555555556,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.88888889 0.11111111]]"
17,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
19,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
2,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.15384615 0.84615385 0.        ]]"
20,46.666666666666664,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         1.         0.        ]]"
21,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
23,51.85185185185185,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.03703704 0.92592593 0.03703704]]"
25,50.0,"[[       nan        nan        nan]
 [0.09090909 0.90909091 0.        ]
 [0.         0.90909091 0.09090909]]"
28,50.0,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.96428571 0.03571429]]"
29,45.0,"[[nan nan nan]
 [0.1 0.9 0. ]
 [0.  1.  0. ]]"
3,47.82608695652174,"[[       nan        nan        nan]
 [0.04347826 0.95652174 0.        ]
 [0.04347826 0.95652174 0.        ]]"
30,51.85185185185185,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.88888889 0.11111111]]"
31,43.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    1.    0.   ]]"
32,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
33,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
35,52.94117647058824,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.05882353 0.88235294 0.05882353]]"
36,40.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  1.  0. ]]"
37,40.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  1.  0. ]]"
38,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
39,40.0,"[[nan nan nan]
 [0.1 0.8 0.1]
 [0.1 0.9 0. ]]"
6,41.17647058823529,"[[       nan        nan        nan]
 [0.11764706 0.82352941 0.05882353]
 [0.11764706 0.88235294 0.        ]]"
