subj,accuracy,cm
1,37.5,"[[ nan  nan  nan]
 [0.   0.   1.  ]
 [0.   0.25 0.75]]"
10,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
14,41.666666666666664,"[[       nan        nan        nan]
 [0.         0.16666667 0.83333333]
 [0.         0.33333333 0.66666667]]"
15,44.44444444444444,"[[       nan        nan        nan]
 [0.         0.11111111 0.88888889]
 [0.         0.22222222 0.77777778]]"
17,56.666666666666664,"[[       nan        nan        nan]
 [0.         0.2        0.8       ]
 [0.         0.06666667 0.93333333]]"
19,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
2,50.0,"[[       nan        nan        nan]
 [0.         0.23076923 0.76923077]
 [0.         0.23076923 0.76923077]]"
20,46.666666666666664,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.06666667 0.93333333]]"
21,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
23,48.148148148148145,"[[       nan        nan        nan]
 [0.         0.07407407 0.92592593]
 [0.         0.11111111 0.88888889]]"
25,59.09090909090909,"[[       nan        nan        nan]
 [0.         0.18181818 0.81818182]
 [0.         0.         1.        ]]"
28,48.214285714285715,"[[       nan        nan        nan]
 [0.         0.03571429 0.96428571]
 [0.         0.07142857 0.92857143]]"
29,50.0,"[[nan nan nan]
 [0.  0.1 0.9]
 [0.  0.1 0.9]]"
3,52.17391304347826,"[[       nan        nan        nan]
 [0.         0.04347826 0.95652174]
 [0.         0.         1.        ]]"
30,53.703703703703695,"[[       nan        nan        nan]
 [0.         0.07407407 0.92592593]
 [0.         0.         1.        ]]"
31,43.75,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.25  0.75 ]]"
32,40.0,"[[nan nan nan]
 [0.  0.  1. ]
 [0.  0.2 0.8]]"
33,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
35,55.88235294117647,"[[       nan        nan        nan]
 [0.         0.20588235 0.79411765]
 [0.         0.08823529 0.91176471]]"
36,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
37,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
39,55.00000000000001,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.1 0.9]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.         0.11764706 0.88235294]
 [0.         0.23529412 0.76470588]]"
