subj,accuracy,cm
1,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
10,50.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.2 0.8 0. ]]"
14,58.333333333333336,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.83333333 0.16666667]]"
15,44.44444444444444,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         1.         0.        ]]"
17,46.666666666666664,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         1.         0.        ]]"
19,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
2,46.15384615384615,"[[       nan        nan        nan]
 [0.07692308 0.92307692 0.        ]
 [0.         1.         0.        ]]"
20,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.06666667 0.93333333 0.        ]]"
21,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
23,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
25,40.909090909090914,"[[       nan        nan        nan]
 [0.09090909 0.81818182 0.09090909]
 [0.         1.         0.        ]]"
28,44.64285714285714,"[[       nan        nan        nan]
 [0.03571429 0.85714286 0.10714286]
 [0.         0.96428571 0.03571429]]"
29,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
3,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
30,46.2962962962963,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         1.         0.        ]]"
31,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
32,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
33,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
35,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
36,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
37,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
38,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.66666667 0.        ]]"
39,45.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  1.  0. ]]"
6,52.94117647058824,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.94117647 0.05882353]]"
