subj,accuracy,cm
1,25.0,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  1.  0. ]]"
10,40.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.8 0.2]]"
14,50.0,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.66666667 0.33333333]]"
15,50.0,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.88888889 0.11111111]]"
17,43.333333333333336,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.8        0.2       ]]"
19,50.0,"[[   nan    nan    nan]
 [0.     0.5625 0.4375]
 [0.     0.5625 0.4375]]"
2,34.61538461538461,"[[       nan        nan        nan]
 [0.         0.53846154 0.46153846]
 [0.         0.84615385 0.15384615]]"
20,36.666666666666664,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.93333333 0.06666667]]"
21,40.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.8 0.2]]"
23,50.0,"[[       nan        nan        nan]
 [0.         0.85185185 0.14814815]
 [0.         0.85185185 0.14814815]]"
25,45.45454545454546,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.90909091 0.09090909]]"
28,53.57142857142857,"[[       nan        nan        nan]
 [0.         0.57142857 0.42857143]
 [0.         0.5        0.5       ]]"
29,50.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.9 0.1]]"
3,47.82608695652174,"[[       nan        nan        nan]
 [0.         0.82608696 0.17391304]
 [0.         0.86956522 0.13043478]]"
30,48.148148148148145,"[[       nan        nan        nan]
 [0.         0.74074074 0.25925926]
 [0.         0.77777778 0.22222222]]"
31,25.0,"[[  nan   nan   nan]
 [0.    0.375 0.625]
 [0.    0.875 0.125]]"
32,40.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  1.  0. ]]"
33,37.5,"[[ nan  nan  nan]
 [0.   0.5  0.5 ]
 [0.   0.75 0.25]]"
35,51.47058823529412,"[[       nan        nan        nan]
 [0.         0.73529412 0.26470588]
 [0.         0.70588235 0.29411765]]"
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]"
37,50.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.8 0.2]]"
38,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.66666667 0.33333333]]"
39,65.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.5 0.5]]"
6,55.88235294117647,"[[       nan        nan        nan]
 [0.         0.76470588 0.23529412]
 [0.         0.64705882 0.35294118]]"
