subj,accuracy,cm
1,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
10,50.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.4 0.6 0. ]]"
14,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
15,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
17,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
19,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
2,46.15384615384615,"[[       nan        nan        nan]
 [0.         0.92307692 0.07692308]
 [0.         1.         0.        ]]"
20,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
21,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
23,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
25,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
28,48.214285714285715,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         1.         0.        ]]"
29,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
3,47.82608695652174,"[[       nan        nan        nan]
 [0.04347826 0.95652174 0.        ]
 [0.         1.         0.        ]]"
30,51.85185185185185,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.92592593 0.07407407]]"
31,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
32,40.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  1.  0. ]]"
33,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
35,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.02941176 0.97058824 0.        ]]"
36,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
37,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
38,66.66666666666666,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.33333333 0.33333333]]"
39,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
6,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
