subj,accuracy,cm
1,62.5,"[[  nan   nan   nan]
 [0.    0.375 0.625]
 [0.    0.125 0.875]]"
10,40.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.4 0.6]]"
14,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.         1.        ]
 [0.         0.33333333 0.66666667]]"
15,50.0,"[[       nan        nan        nan]
 [0.         0.55555556 0.44444444]
 [0.         0.55555556 0.44444444]]"
17,56.666666666666664,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.2        0.8       ]]"
19,50.0,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.125 0.875]]"
2,42.30769230769231,"[[       nan        nan        nan]
 [0.         0.30769231 0.69230769]
 [0.         0.46153846 0.53846154]]"
20,50.0,"[[       nan        nan        nan]
 [0.         0.26666667 0.73333333]
 [0.         0.26666667 0.73333333]]"
21,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
23,61.11111111111111,"[[       nan        nan        nan]
 [0.         0.40740741 0.59259259]
 [0.         0.18518519 0.81481481]]"
25,45.45454545454545,"[[       nan        nan        nan]
 [0.         0.36363636 0.63636364]
 [0.         0.45454545 0.54545455]]"
28,50.0,"[[       nan        nan        nan]
 [0.         0.17857143 0.82142857]
 [0.         0.17857143 0.82142857]]"
29,80.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.2 0.8]]"
3,63.04347826086957,"[[       nan        nan        nan]
 [0.         0.39130435 0.60869565]
 [0.         0.13043478 0.86956522]]"
30,48.148148148148145,"[[       nan        nan        nan]
 [0.         0.22222222 0.77777778]
 [0.         0.25925926 0.74074074]]"
31,37.5,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.375 0.625]]"
32,50.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.2 0.8]]"
33,75.0,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  0.  1. ]]"
35,52.94117647058824,"[[       nan        nan        nan]
 [0.         0.32352941 0.67647059]
 [0.         0.26470588 0.73529412]]"
36,60.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.4 0.6]]"
37,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]"
39,45.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.5 0.5]]"
6,52.94117647058824,"[[       nan        nan        nan]
 [0.         0.35294118 0.64705882]
 [0.         0.29411765 0.70588235]]"
