subj,accuracy,cm
1,37.5,"[[  nan   nan   nan]
 [0.25  0.625 0.125]
 [0.25  0.625 0.125]]"
10,50.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.6 0.2 0.2]]"
14,25.0,"[[nan nan nan]
 [0.5 0.5 0. ]
 [0.  1.  0. ]]"
15,27.77777777777778,"[[       nan        nan        nan]
 [0.22222222 0.55555556 0.22222222]
 [0.33333333 0.66666667 0.        ]]"
17,46.666666666666664,"[[       nan        nan        nan]
 [0.13333333 0.8        0.06666667]
 [0.06666667 0.8        0.13333333]]"
19,50.0,"[[   nan    nan    nan]
 [0.125  0.75   0.125 ]
 [0.0625 0.6875 0.25  ]]"
2,38.46153846153847,"[[       nan        nan        nan]
 [0.15384615 0.61538462 0.23076923]
 [0.23076923 0.61538462 0.15384615]]"
20,30.0,"[[       nan        nan        nan]
 [0.33333333 0.6        0.06666667]
 [0.06666667 0.93333333 0.        ]]"
21,50.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.6 0.4 0. ]]"
23,46.29629629629629,"[[       nan        nan        nan]
 [0.07407407 0.81481481 0.11111111]
 [0.14814815 0.74074074 0.11111111]]"
25,27.27272727272727,"[[       nan        nan        nan]
 [0.09090909 0.54545455 0.36363636]
 [0.09090909 0.90909091 0.        ]]"
28,46.42857142857143,"[[       nan        nan        nan]
 [0.14285714 0.78571429 0.07142857]
 [0.14285714 0.71428571 0.14285714]]"
29,40.0,"[[nan nan nan]
 [0.2 0.7 0.1]
 [0.1 0.8 0.1]]"
3,52.17391304347826,"[[       nan        nan        nan]
 [0.08695652 0.91304348 0.        ]
 [0.         0.86956522 0.13043478]]"
30,42.592592592592595,"[[       nan        nan        nan]
 [0.22222222 0.74074074 0.03703704]
 [0.11111111 0.77777778 0.11111111]]"
31,37.5,"[[  nan   nan   nan]
 [0.125 0.625 0.25 ]
 [0.    0.875 0.125]]"
32,20.0,"[[nan nan nan]
 [0.6 0.4 0. ]
 [0.  1.  0. ]]"
33,25.0,"[[ nan  nan  nan]
 [0.25 0.5  0.25]
 [0.   1.   0.  ]]"
35,44.11764705882353,"[[       nan        nan        nan]
 [0.23529412 0.76470588 0.        ]
 [0.11764706 0.76470588 0.11764706]]"
36,50.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.2 0.6 0.2]]"
37,50.0,"[[nan nan nan]
 [0.4 0.6 0. ]
 [0.  0.6 0.4]]"
38,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         1.         0.        ]]"
39,30.0,"[[nan nan nan]
 [0.2 0.6 0.2]
 [0.1 0.9 0. ]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.17647059 0.76470588 0.05882353]
 [0.23529412 0.64705882 0.11764706]]"
