subj,accuracy,cm
1,37.5,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.5  0.5 ]]"
10,40.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.8 0.2]]"
14,50.0,"[[       nan        nan        nan]
 [0.         0.16666667 0.83333333]
 [0.         0.16666667 0.83333333]]"
15,50.0,"[[       nan        nan        nan]
 [0.         0.44444444 0.55555556]
 [0.         0.44444444 0.55555556]]"
17,60.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.4 0.6]]"
19,65.625,"[[   nan    nan    nan]
 [0.     0.625  0.375 ]
 [0.     0.3125 0.6875]]"
2,46.15384615384615,"[[       nan        nan        nan]
 [0.         0.23076923 0.76923077]
 [0.         0.30769231 0.69230769]]"
20,36.66666666666667,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.6        0.4       ]]"
21,50.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.6 0.4]]"
23,51.85185185185185,"[[       nan        nan        nan]
 [0.         0.51851852 0.48148148]
 [0.         0.48148148 0.51851852]]"
25,31.818181818181817,"[[       nan        nan        nan]
 [0.         0.27272727 0.72727273]
 [0.         0.63636364 0.36363636]]"
28,44.64285714285714,"[[       nan        nan        nan]
 [0.         0.32142857 0.67857143]
 [0.         0.42857143 0.57142857]]"
29,60.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.4 0.6]]"
3,65.21739130434783,"[[       nan        nan        nan]
 [0.         0.52173913 0.47826087]
 [0.         0.2173913  0.7826087 ]]"
30,40.74074074074074,"[[       nan        nan        nan]
 [0.         0.37037037 0.62962963]
 [0.         0.55555556 0.44444444]]"
31,31.25,"[[  nan   nan   nan]
 [0.    0.25  0.75 ]
 [0.    0.625 0.375]]"
32,60.00000000000001,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.6 0.4]]"
33,50.0,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  0.5 0.5]]"
35,54.41176470588236,"[[       nan        nan        nan]
 [0.         0.5        0.5       ]
 [0.         0.41176471 0.58823529]]"
36,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]"
37,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]"
38,66.66666666666666,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.         1.        ]]"
39,50.0,"[[nan nan nan]
 [0.  0.5 0.5]
 [0.  0.5 0.5]]"
6,41.17647058823529,"[[       nan        nan        nan]
 [0.         0.41176471 0.58823529]
 [0.         0.58823529 0.41176471]]"
