subj,accuracy,cm
1,43.75,"[[  nan   nan   nan]
 [0.375 0.625 0.   ]
 [0.25  0.5   0.25 ]]"
10,50.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.2 0.6 0.2]]"
14,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
15,50.0,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.88888889 0.11111111]]"
17,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]"
19,46.875,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     1.     0.    ]]"
2,42.30769230769231,"[[       nan        nan        nan]
 [0.07692308 0.84615385 0.07692308]
 [0.15384615 0.84615385 0.        ]]"
20,36.666666666666664,"[[       nan        nan        nan]
 [0.13333333 0.66666667 0.2       ]
 [0.13333333 0.8        0.06666667]]"
21,40.0,"[[nan nan nan]
 [0.2 0.6 0.2]
 [0.  0.8 0.2]]"
23,40.74074074074074,"[[       nan        nan        nan]
 [0.22222222 0.74074074 0.03703704]
 [0.11111111 0.81481481 0.07407407]]"
25,40.909090909090914,"[[       nan        nan        nan]
 [0.09090909 0.81818182 0.09090909]
 [0.18181818 0.81818182 0.        ]]"
28,42.857142857142854,"[[       nan        nan        nan]
 [0.07142857 0.82142857 0.10714286]
 [0.07142857 0.89285714 0.03571429]]"
29,45.0,"[[nan nan nan]
 [0.1 0.8 0.1]
 [0.1 0.8 0.1]]"
3,45.65217391304348,"[[       nan        nan        nan]
 [0.         0.91304348 0.08695652]
 [0.08695652 0.91304348 0.        ]]"
30,44.44444444444444,"[[       nan        nan        nan]
 [0.11111111 0.77777778 0.11111111]
 [0.11111111 0.77777778 0.11111111]]"
31,37.5,"[[  nan   nan   nan]
 [0.125 0.75  0.125]
 [0.375 0.625 0.   ]]"
32,50.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.4 0.6 0. ]]"
33,50.0,"[[ nan  nan  nan]
 [0.25 0.75 0.  ]
 [0.   0.75 0.25]]"
35,47.05882352941176,"[[       nan        nan        nan]
 [0.05882353 0.88235294 0.05882353]
 [0.08823529 0.85294118 0.05882353]]"
36,50.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  0.8 0.2]]"
37,40.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  1.  0. ]]"
38,50.0,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.66666667 0.33333333]]"
39,35.0,"[[nan nan nan]
 [0.2 0.7 0.1]
 [0.2 0.8 0. ]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.05882353 0.82352941 0.11764706]
 [0.11764706 0.82352941 0.05882353]]"
