subj,accuracy,cm
1,50.0,"[[  nan   nan   nan]
 [0.    0.625 0.375]
 [0.    0.625 0.375]]"
10,40.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.8 0.2]]"
14,75.0,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.33333333 0.66666667]]"
15,55.55555555555556,"[[       nan        nan        nan]
 [0.         0.55555556 0.44444444]
 [0.         0.44444444 0.55555556]]"
17,66.66666666666667,"[[       nan        nan        nan]
 [0.         0.8        0.2       ]
 [0.         0.46666667 0.53333333]]"
19,53.125,"[[   nan    nan    nan]
 [0.     0.6875 0.3125]
 [0.     0.625  0.375 ]]"
2,57.692307692307686,"[[       nan        nan        nan]
 [0.         0.61538462 0.38461538]
 [0.         0.46153846 0.53846154]]"
20,60.0,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.46666667 0.53333333]]"
21,50.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.6 0.4]]"
23,51.85185185185185,"[[       nan        nan        nan]
 [0.         0.7037037  0.2962963 ]
 [0.         0.66666667 0.33333333]]"
25,40.90909090909091,"[[       nan        nan        nan]
 [0.         0.45454545 0.54545455]
 [0.         0.63636364 0.36363636]]"
28,53.57142857142857,"[[       nan        nan        nan]
 [0.         0.53571429 0.46428571]
 [0.         0.46428571 0.53571429]]"
29,55.00000000000001,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.5 0.5]]"
3,60.86956521739131,"[[       nan        nan        nan]
 [0.         0.73913043 0.26086957]
 [0.         0.52173913 0.47826087]]"
30,57.407407407407405,"[[       nan        nan        nan]
 [0.         0.51851852 0.48148148]
 [0.         0.37037037 0.62962963]]"
31,31.25,"[[  nan   nan   nan]
 [0.    0.25  0.75 ]
 [0.    0.625 0.375]]"
32,60.00000000000001,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.6 0.4]]"
33,75.0,"[[ nan  nan  nan]
 [0.   0.75 0.25]
 [0.   0.25 0.75]]"
35,61.76470588235294,"[[       nan        nan        nan]
 [0.         0.61764706 0.38235294]
 [0.         0.38235294 0.61764706]]"
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]"
37,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]"
38,33.33333333333333,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.66666667 0.33333333]]"
39,55.00000000000001,"[[nan nan nan]
 [0.  0.7 0.3]
 [0.  0.6 0.4]]"
6,41.17647058823529,"[[       nan        nan        nan]
 [0.         0.58823529 0.41176471]
 [0.         0.76470588 0.23529412]]"
