subj,accuracy,cm
1,37.5,"[[ nan  nan  nan]
 [0.25 0.75 0.  ]
 [0.25 0.75 0.  ]]"
10,50.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.4 0.4 0.2]]"
14,50.0,"[[       nan        nan        nan]
 [0.33333333 0.66666667 0.        ]
 [0.16666667 0.5        0.33333333]]"
15,33.33333333333333,"[[       nan        nan        nan]
 [0.22222222 0.66666667 0.11111111]
 [0.22222222 0.77777778 0.        ]]"
17,26.666666666666668,"[[       nan        nan        nan]
 [0.6        0.33333333 0.06666667]
 [0.13333333 0.66666667 0.2       ]]"
19,43.75,"[[   nan    nan    nan]
 [0.3125 0.5625 0.125 ]
 [0.125  0.5625 0.3125]]"
2,38.46153846153847,"[[       nan        nan        nan]
 [0.30769231 0.61538462 0.07692308]
 [0.07692308 0.76923077 0.15384615]]"
20,26.666666666666668,"[[       nan        nan        nan]
 [0.46666667 0.46666667 0.06666667]
 [0.2        0.73333333 0.06666667]]"
21,30.0,"[[nan nan nan]
 [0.2 0.6 0.2]
 [0.6 0.4 0. ]]"
23,46.2962962962963,"[[       nan        nan        nan]
 [0.14814815 0.7037037  0.14814815]
 [0.14814815 0.62962963 0.22222222]]"
25,31.818181818181817,"[[       nan        nan        nan]
 [0.18181818 0.54545455 0.27272727]
 [0.18181818 0.72727273 0.09090909]]"
28,42.85714285714286,"[[       nan        nan        nan]
 [0.25       0.67857143 0.07142857]
 [0.17857143 0.64285714 0.17857143]]"
29,55.00000000000001,"[[nan nan nan]
 [0.1 0.8 0.1]
 [0.3 0.4 0.3]]"
3,41.30434782608695,"[[       nan        nan        nan]
 [0.34782609 0.60869565 0.04347826]
 [0.30434783 0.47826087 0.2173913 ]]"
30,37.03703703703704,"[[       nan        nan        nan]
 [0.44444444 0.44444444 0.11111111]
 [0.18518519 0.51851852 0.2962963 ]]"
31,50.0,"[[ nan  nan  nan]
 [0.25 0.75 0.  ]
 [0.25 0.5  0.25]]"
32,20.0,"[[nan nan nan]
 [0.8 0.2 0. ]
 [0.  0.8 0.2]]"
33,37.5,"[[ nan  nan  nan]
 [0.25 0.5  0.25]
 [0.   0.75 0.25]]"
35,30.88235294117647,"[[       nan        nan        nan]
 [0.47058824 0.5        0.02941176]
 [0.23529412 0.64705882 0.11764706]]"
36,40.0,"[[nan nan nan]
 [0.4 0.6 0. ]
 [0.2 0.6 0.2]]"
37,70.0,"[[nan nan nan]
 [0.2 0.8 0. ]
 [0.  0.4 0.6]]"
38,33.33333333333333,"[[       nan        nan        nan]
 [0.33333333 0.66666667 0.        ]
 [0.         1.         0.        ]]"
39,35.0,"[[nan nan nan]
 [0.3 0.6 0.1]
 [0.4 0.5 0.1]]"
6,29.411764705882355,"[[       nan        nan        nan]
 [0.35294118 0.52941176 0.11764706]
 [0.35294118 0.58823529 0.05882353]]"
