subj,accuracy,cm
1,37.5,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.375 0.625]]"
10,50.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.2 0.8]]"
14,58.333333333333336,"[[       nan        nan        nan]
 [0.         0.16666667 0.83333333]
 [0.         0.         1.        ]]"
15,55.55555555555556,"[[       nan        nan        nan]
 [0.         0.22222222 0.77777778]
 [0.         0.11111111 0.88888889]]"
17,56.666666666666664,"[[       nan        nan        nan]
 [0.         0.2        0.8       ]
 [0.         0.06666667 0.93333333]]"
19,59.375,"[[   nan    nan    nan]
 [0.     0.25   0.75  ]
 [0.     0.0625 0.9375]]"
2,57.6923076923077,"[[       nan        nan        nan]
 [0.         0.23076923 0.76923077]
 [0.         0.07692308 0.92307692]]"
20,66.66666666666666,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.         1.        ]]"
21,40.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.4 0.6]]"
23,48.148148148148145,"[[       nan        nan        nan]
 [0.         0.14814815 0.85185185]
 [0.         0.18518519 0.81481481]]"
25,45.45454545454546,"[[       nan        nan        nan]
 [0.         0.18181818 0.81818182]
 [0.         0.27272727 0.72727273]]"
28,53.57142857142857,"[[       nan        nan        nan]
 [0.         0.14285714 0.85714286]
 [0.         0.07142857 0.92857143]]"
29,55.00000000000001,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.1 0.9]]"
3,56.52173913043478,"[[       nan        nan        nan]
 [0.         0.26086957 0.73913043]
 [0.         0.13043478 0.86956522]]"
30,55.55555555555556,"[[       nan        nan        nan]
 [0.         0.18518519 0.81481481]
 [0.         0.07407407 0.92592593]]"
31,43.75,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.25  0.75 ]]"
32,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
33,50.0,"[[ nan  nan  nan]
 [0.   0.25 0.75]
 [0.   0.25 0.75]]"
35,55.88235294117647,"[[       nan        nan        nan]
 [0.         0.23529412 0.76470588]
 [0.         0.11764706 0.88235294]]"
36,60.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.2 0.8]]"
37,60.0,"[[nan nan nan]
 [0.  0.2 0.8]
 [0.  0.  1. ]]"
38,66.66666666666666,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.         1.        ]]"
39,55.00000000000001,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.3 0.7]]"
6,44.11764705882353,"[[       nan        nan        nan]
 [0.         0.23529412 0.76470588]
 [0.         0.35294118 0.64705882]]"
