subj,accuracy,cm,best_epoch
1,87.5,"[[ nan  nan  nan]
 [0.   1.   0.  ]
 [0.   0.25 0.75]]",8
10,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
14,83.33,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.16666667 0.83333333]]",7
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
17,76.67,"[[       nan        nan        nan]
 [0.06666667 0.93333333 0.        ]
 [0.         0.4        0.6       ]]",8
19,84.38,"[[   nan    nan    nan]
 [0.     1.     0.    ]
 [0.     0.3125 0.6875]]",8
2,88.46000000000001,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23076923 0.76923077]]",8
20,70.0,"[[       nan        nan        nan]
 [0.         0.73333333 0.26666667]
 [0.         0.33333333 0.66666667]]",13
21,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",7
23,79.63,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.40740741 0.59259259]]",8
25,86.36,"[[       nan        nan        nan]
 [0.09090909 0.90909091 0.        ]
 [0.         0.18181818 0.81818182]]",5
28,82.14,"[[       nan        nan        nan]
 [0.10714286 0.89285714 0.        ]
 [0.         0.25       0.75      ]]",18
29,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",18
3,73.91,"[[       nan        nan        nan]
 [0.08695652 0.91304348 0.        ]
 [0.         0.43478261 0.56521739]]",7
30,85.19,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.25925926 0.74074074]]",9
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",12
32,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",3
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
35,79.41,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.32352941 0.67647059]]",5
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",9
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",8
38,66.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.33333333 0.33333333]]",1
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",8
6,82.35,"[[       nan        nan        nan]
 [0.05882353 0.94117647 0.        ]
 [0.         0.29411765 0.70588235]]",7
