subj,accuracy,cm,best_epoch
1,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",19
10,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
14,75.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.5 0.5]]",3
15,88.89,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.22222222 0.77777778]]",19
17,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",7
19,84.38,"[[   nan    nan    nan]
 [0.     0.8125 0.1875]
 [0.     0.125  0.875 ]]",24
2,88.46000000000001,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23076923 0.76923077]]",8
20,86.67,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.2        0.8       ]]",8
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",13
23,79.63,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.40740741 0.59259259]]",9
25,90.91,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.18181818 0.81818182]]",13
28,80.36,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.35714286 0.64285714]]",7
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",8
3,76.09,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.47826087 0.52173913]]",7
30,85.19,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.25925926 0.74074074]]",6
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",13
32,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",5
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
35,82.35,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.26470588 0.73529412]]",14
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",9
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",10
38,50.0,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.66666667 0.        ]]",1
39,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",6
6,79.41,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.35294118 0.64705882]]",21
