subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",8
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",5
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",8
17,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",14
19,84.38,"[[   nan    nan    nan]
 [0.     1.     0.    ]
 [0.     0.3125 0.6875]]",4
2,88.46000000000001,"[[       nan        nan        nan]
 [0.         0.92307692 0.07692308]
 [0.         0.15384615 0.84615385]]",10
20,76.67,"[[       nan        nan        nan]
 [0.         0.8        0.2       ]
 [0.         0.26666667 0.73333333]]",8
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",9
23,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",8
25,95.45,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.09090909 0.90909091]]",5
28,83.93,"[[       nan        nan        nan]
 [0.         0.89285714 0.10714286]
 [0.         0.21428571 0.78571429]]",20
29,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",8
3,82.61,"[[       nan        nan        nan]
 [0.         0.91304348 0.08695652]
 [0.         0.26086957 0.73913043]]",10
30,87.03999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.18518519 0.81481481]]",6
31,68.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.5   0.5  ]]",9
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",9
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
35,80.88,"[[       nan        nan        nan]
 [0.         0.97058824 0.02941176]
 [0.         0.35294118 0.64705882]]",6
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",8
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
38,66.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.33333333 0.33333333]]",1
39,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",30
6,82.35,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.35294118 0.64705882]]",20
