subj,accuracy,cm,best_epoch
1,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",16
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",8
14,75.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.5 0.5]]",2
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",14
17,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",7
19,87.5,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.1875 0.8125]]",17
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",13
20,86.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.26666667 0.73333333]]",8
21,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",7
23,79.63,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.40740741 0.59259259]]",16
25,95.45,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.09090909 0.90909091]]",12
28,82.14,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.28571429 0.71428571]]",10
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",20
3,78.25999999999999,"[[       nan        nan        nan]
 [0.         0.91304348 0.08695652]
 [0.         0.34782609 0.65217391]]",9
30,88.89,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.11111111 0.88888889]]",18
31,62.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.625 0.375]]",10
32,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
35,82.35,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.26470588 0.73529412]]",13
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",3
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",8
38,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]",1
39,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",10
6,82.35,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.29411765 0.70588235]]",17
