subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",6
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",11
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",5
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",13
17,86.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.26666667 0.73333333]]",4
19,87.5,"[[ nan  nan  nan]
 [0.   1.   0.  ]
 [0.   0.25 0.75]]",7
2,84.61999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.30769231 0.69230769]]",15
20,83.33,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.26666667 0.73333333]]",7
21,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",4
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.37037037 0.62962963]]",10
25,90.91,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.09090909 0.90909091]]",10
28,89.29,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.17857143 0.82142857]]",13
29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",6
3,78.25999999999999,"[[       nan        nan        nan]
 [0.         0.91304348 0.08695652]
 [0.         0.34782609 0.65217391]]",6
30,92.58999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.07407407 0.92592593]]",9
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",9
32,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",7
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
35,83.82,"[[       nan        nan        nan]
 [0.         0.97058824 0.02941176]
 [0.         0.29411765 0.70588235]]",7
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",8
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
38,66.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.33333333 0.33333333 0.33333333]]",1
39,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",10
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.29411765 0.70588235]]",19
