subj,accuracy,cm,best_epoch
1,81.25,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.25  0.75 ]]",20
10,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",6
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",3
15,88.89,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.22222222 0.77777778]]",6
17,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",10
19,84.38,"[[   nan    nan    nan]
 [0.     1.     0.    ]
 [0.     0.3125 0.6875]]",6
2,88.46000000000001,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23076923 0.76923077]]",7
20,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",7
21,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",9
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.37037037 0.62962963]]",18
25,95.45,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.09090909 0.90909091]]",11
28,83.93,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.28571429 0.71428571]]",23
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",18
3,78.25999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.43478261 0.56521739]]",5
30,88.89,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.18518519 0.81481481]]",18
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",18
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",15
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
35,83.82,"[[       nan        nan        nan]
 [0.         0.88235294 0.11764706]
 [0.         0.20588235 0.79411765]]",13
36,70.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.6 0.4]]",4
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",6
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",3
39,95.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.  1. ]]",29
6,88.24,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23529412 0.76470588]]",20
