subj,accuracy,cm,best_epoch
1,87.5,"[[ nan  nan  nan]
 [0.   1.   0.  ]
 [0.   0.25 0.75]]",5
10,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",6
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",6
17,93.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.13333333 0.86666667]]",16
19,84.38,"[[   nan    nan    nan]
 [0.     1.     0.    ]
 [0.     0.3125 0.6875]]",5
2,80.77,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.38461538 0.61538462]]",4
20,76.67,"[[       nan        nan        nan]
 [0.         0.8        0.2       ]
 [0.         0.26666667 0.73333333]]",7
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",6
23,79.63,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.40740741 0.59259259]]",4
25,95.45,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.09090909 0.90909091]]",6
28,83.93,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.28571429 0.71428571]]",6
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",17
3,78.25999999999999,"[[       nan        nan        nan]
 [0.         0.91304348 0.08695652]
 [0.         0.34782609 0.65217391]]",8
30,90.74,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.14814815 0.85185185]]",10
31,68.75,"[[  nan   nan   nan]
 [0.    0.75  0.25 ]
 [0.    0.375 0.625]]",9
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
35,82.35,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.29411765 0.70588235]]",18
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",10
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
38,50.0,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.33333333 0.33333333 0.33333333]]",1
39,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",11
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.29411765 0.70588235]]",12
