subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",4
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",2
15,94.44,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11111111 0.88888889]]",3
17,93.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.13333333 0.86666667]]",16
19,84.38,"[[   nan    nan    nan]
 [0.     1.     0.    ]
 [0.     0.3125 0.6875]]",3
2,88.46000000000001,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23076923 0.76923077]]",14
20,83.33,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.26666667 0.73333333]]",3
21,80.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.2 0.8]]",2
23,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",19
25,90.91,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.09090909 0.90909091]]",6
28,85.71,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.25       0.75      ]]",16
29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",11
3,80.43,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.34782609 0.65217391]]",8
30,94.44,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.07407407 0.92592593]]",18
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",7
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",6
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1
35,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.97058824 0.02941176]
 [0.         0.26470588 0.73529412]]",7
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",3
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",3
39,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",3
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.29411765 0.70588235]]",6
