subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",9
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",2
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",8
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",7
19,87.5,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.1875 0.8125]]",4
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",2
20,83.33,"[[       nan        nan        nan]
 [0.         0.86666667 0.13333333]
 [0.         0.2        0.8       ]]",2
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",6
23,79.63,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.37037037 0.62962963]]",2
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",7
28,87.5,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.21428571 0.78571429]]",19
29,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",10
3,82.61,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.30434783 0.69565217]]",7
30,94.44,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.07407407 0.92592593]]",13
31,81.25,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.25  0.75 ]]",10
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,88.24,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23529412 0.76470588]]",3
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",2
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",6
39,85.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.1 0.9]]",6
6,88.24,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.17647059 0.82352941]]",9
