subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",4
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",2
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",14
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",10
19,90.62,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.125  0.875 ]]",21
2,84.61999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.30769231 0.69230769]]",4
20,76.67,"[[       nan        nan        nan]
 [0.         0.73333333 0.26666667]
 [0.         0.2        0.8       ]]",3
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",3
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.37037037 0.62962963]]",8
25,86.36,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.09090909 0.90909091]]",4
28,89.29,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.17857143 0.82142857]]",19
29,95.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.  1. ]]",15
3,80.43,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.34782609 0.65217391]]",9
30,94.44,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.07407407 0.92592593]]",7
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",10
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,88.24,"[[       nan        nan        nan]
 [0.         0.97058824 0.02941176]
 [0.         0.20588235 0.79411765]]",7
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",6
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",6
39,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
6,88.24,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23529412 0.76470588]]",4
