subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.    1.   ]]",3
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
14,91.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.16666667 0.83333333]]",3
15,94.44,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.         1.        ]]",4
17,90.0,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.13333333 0.86666667]]",2
19,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",4
2,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",7
20,73.33,"[[       nan        nan        nan]
 [0.         0.6        0.4       ]
 [0.         0.13333333 0.86666667]]",9
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",1
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.33333333 0.66666667]]",9
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",7
28,83.93,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.25       0.75      ]]",6
29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",2
3,80.43,"[[       nan        nan        nan]
 [0.         0.7826087  0.2173913 ]
 [0.         0.17391304 0.82608696]]",9
30,90.74,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.11111111 0.88888889]]",8
31,62.5,"[[  nan   nan   nan]
 [0.    0.625 0.375]
 [0.    0.375 0.625]]",2
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,82.35,"[[       nan        nan        nan]
 [0.         0.79411765 0.20588235]
 [0.         0.14705882 0.85294118]]",3
36,70.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.6 0.4]]",3
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",5
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",2
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",5
6,88.24,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.17647059 0.82352941]]",9
