subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.    1.   ]]",4
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",7
14,83.33,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.16666667 0.83333333]]",3
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",7
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",9
19,84.38,"[[   nan    nan    nan]
 [0.     0.875  0.125 ]
 [0.     0.1875 0.8125]]",21
2,96.15,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.07692308 0.92307692]]",7
20,73.33,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.2        0.8       ]]",12
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",10
23,83.33,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.25925926 0.74074074]]",4
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",8
28,85.71,"[[       nan        nan        nan]
 [0.         0.89285714 0.10714286]
 [0.         0.17857143 0.82142857]]",6
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",4
3,86.96000000000001,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.2173913  0.7826087 ]]",10
30,88.89,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.11111111 0.88888889]]",8
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",10
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",6
35,83.82,"[[       nan        nan        nan]
 [0.         0.88235294 0.11764706]
 [0.         0.20588235 0.79411765]]",8
36,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",8
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",9
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",10
6,91.18,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.11764706 0.88235294]]",13
