subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.    1.   ]]",3
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
14,83.33,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.16666667 0.83333333]]",7
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",3
19,90.62,"[[   nan    nan    nan]
 [0.     0.875  0.125 ]
 [0.     0.0625 0.9375]]",5
2,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",19
20,76.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.13333333 0.86666667]]",4
21,80.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.2 0.8]]",5
23,87.03999999999999,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.22222222 0.77777778]]",3
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",5
28,87.5,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.21428571 0.78571429]]",11
29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",4
3,82.61,"[[       nan        nan        nan]
 [0.         0.86956522 0.13043478]
 [0.         0.2173913  0.7826087 ]]",5
30,90.74,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.11111111 0.88888889]]",11
31,68.75,"[[  nan   nan   nan]
 [0.    0.75  0.25 ]
 [0.    0.375 0.625]]",6
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,86.76,"[[       nan        nan        nan]
 [0.         0.88235294 0.11764706]
 [0.         0.14705882 0.85294118]]",4
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",6
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",8
39,85.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.2 0.8]]",4
6,91.18,"[[       nan        nan        nan]
 [0.         0.88235294 0.11764706]
 [0.         0.05882353 0.94117647]]",3
