subj,accuracy,cm,best_epoch
1,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",12
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",6
14,83.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.33333333 0.66666667]]",3
15,94.44,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.         1.        ]]",3
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",10
19,90.62,"[[   nan    nan    nan]
 [0.     0.875  0.125 ]
 [0.     0.0625 0.9375]]",4
2,96.15,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.07692308 0.92307692]]",14
20,73.33,"[[       nan        nan        nan]
 [0.         0.6        0.4       ]
 [0.         0.13333333 0.86666667]]",6
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",9
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.37037037 0.62962963]]",10
25,90.91,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.         1.        ]]",12
28,87.5,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.21428571 0.78571429]]",9
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",10
3,86.96000000000001,"[[       nan        nan        nan]
 [0.         0.86956522 0.13043478]
 [0.         0.13043478 0.86956522]]",7
30,92.58999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.07407407 0.92592593]]",9
31,68.75,"[[  nan   nan   nan]
 [0.    0.75  0.25 ]
 [0.    0.375 0.625]]",9
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
35,86.76,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.17647059 0.82352941]]",6
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",5
37,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",2
38,50.0,"[[       nan        nan        nan]
 [0.         0.33333333 0.66666667]
 [0.         0.33333333 0.66666667]]",5
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",6
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.23529412 0.76470588]]",17
