subj,accuracy,cm,best_epoch
1,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",6
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",7
14,83.33,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.16666667 0.83333333]]",4
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
17,93.33,"[[       nan        nan        nan]
 [0.         0.93333333 0.06666667]
 [0.         0.06666667 0.93333333]]",5
19,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",9
2,96.15,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.07692308 0.92307692]]",8
20,76.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.13333333 0.86666667]]",16
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",6
23,88.89,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.22222222 0.77777778]]",4
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",3
28,89.29,"[[       nan        nan        nan]
 [0.         0.96428571 0.03571429]
 [0.         0.17857143 0.82142857]]",15
29,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
3,86.96000000000001,"[[       nan        nan        nan]
 [0.         0.91304348 0.08695652]
 [0.         0.17391304 0.82608696]]",26
30,92.58999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.07407407 0.92592593]]",7
31,68.75,"[[  nan   nan   nan]
 [0.    0.625 0.375]
 [0.    0.25  0.75 ]]",11
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",8
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
35,83.82,"[[       nan        nan        nan]
 [0.         0.82352941 0.17647059]
 [0.         0.14705882 0.85294118]]",3
36,80.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.2 0.8]]",1
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",4
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]",1
39,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",23
6,91.18,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.11764706 0.88235294]]",11
