subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.    1.   ]]",3
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",6
14,83.33,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.16666667 0.83333333]]",2
15,94.44,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.         1.        ]]",4
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",3
19,90.62,"[[   nan    nan    nan]
 [0.     0.875  0.125 ]
 [0.     0.0625 0.9375]]",5
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",8
20,73.33,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.2        0.8       ]]",10
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",7
23,87.03999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.25925926 0.74074074]]",4
25,90.91,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.         1.        ]]",6
28,87.5,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.17857143 0.82142857]]",4
29,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",15
3,80.43,"[[       nan        nan        nan]
 [0.         0.7826087  0.2173913 ]
 [0.         0.17391304 0.82608696]]",2
30,92.58999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.07407407 0.92592593]]",6
31,68.75,"[[  nan   nan   nan]
 [0.    0.625 0.375]
 [0.    0.25  0.75 ]]",5
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.23529412 0.76470588]]",4
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",7
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",3
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",5
39,95.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.1 0.9]]",6
6,88.24,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.17647059 0.82352941]]",2
